States,2019,2019_lower, 2019_upper
Marracuene,5.17 ,3.61 , <0.01
Marromeu,4.57 ,3.19 , <0.01
Marrupa,1.54 ,0.95 , <0.01
Marávia,0.39 ,0.22 , <0.01
Maríngué,1.79 ,1.08 , <0.01
Massangena,0.97 ,0.67 , <0.01
Massinga,2.03 ,1.46 , <0.01
Massingir,1.30 ,0.84 , <0.01
Matola,4.11 ,3.41 , <0.01
Matutuíne,9.50 ,6.55 , 0.01
Mavago,1.77 ,1.02 , <0.01
Maxixe,1.77 ,1.34 , <0.01
Maúa,1.84 ,1.09 , <0.01
Mecanhelas,1.33 ,0.83 , <0.01
Meconta,4.57 ,2.84 , <0.01
Mecubúri,2.39 ,1.44 , <0.01
Mecufi,1.79 ,0.99 , <0.01
Mecula,2.80 ,1.65 , <0.01
Meluco,2.94 ,1.79 , <0.01
Memba,2.25 ,1.26 , <0.01
Metarica,1.05 ,0.58 , <0.01
Metuge,2.24 ,1.31 , <0.01
Milange,1.64 ,1.07 , <0.01
Moamba,8.04 ,5.44 , 0.01
Moatize,0.86 ,0.65 , <0.01
Mocuba,2.95 ,2.18 , <0.01
Mocubela,4.00 ,2.73 , <0.01
Mocímboa da Praia,2.78 ,1.74 , <0.01
Mogincual,2.11 ,1.26 , <0.01
Mogovolas,3.13 ,1.99 , <0.01
Molumbo,1.48 ,0.87 , <0.01
Moma,4.18 ,2.69 , <0.01
Monapo,4.21 ,2.80 , <0.01
Montepuez,2.23 ,1.42 , <0.01
Mopeia,3.01 ,1.94 , <0.01
Morrumbala,2.30 ,1.51 , <0.01
Morrumbene,1.59 ,1.08 , <0.01
Morrupula,2.75 ,1.60 , <0.01
Mossuril,2.93 ,1.73 , <0.01
Mossurize,0.83 ,0.53 , <0.01
Muanza,2.28 ,1.28 , <0.01
Muecate,3.31 ,1.92 , <0.01
Mueda,3.01 ,2.12 , <0.01
Muembe,1.29 ,0.72 , <0.01
Muidumbe,4.45 ,2.51 , <0.01
Mulevala,2.44 ,1.48 , <0.01
Mutarara,0.58 ,0.33 , <0.01
Mágoè,0.73 ,0.44 , <0.01
Nacala,4.80 ,2.97 , <0.01
Nacala-a-Velha,3.26 ,1.81 , <0.01
Nacarôa,3.25 ,1.92 , <0.01
Namaacha,6.88 ,4.61 , <0.01
Namacurra,4.79 ,3.66 , <0.01
Namarói,1.18 ,0.71 , <0.01
Nampula,3.80 ,2.93 , <0.01
Namuno,2.92 ,1.89 , <0.01
Nangade,2.37 ,1.42 , <0.01
Ngaúma,1.25 ,0.70 , <0.01
Nhamatanda,3.10 ,2.06 , <0.01
Nhlamankulu,2.42 ,1.91 , <0.01
Nicoadala,4.68 ,3.21 , <0.01
Nipepe,1.42 ,0.80 , <0.01
Palma,1.95 ,1.04 , <0.01
Panda,1.39 ,0.94 , <0.01
Pebane,3.39 ,2.52 , <0.01
