States,2019,2019_lower, 2019_upper
Morrupula,4.7 ,3.0 , 6.9
Mossuril,5.1 ,3.1 , 7.9
Mossurize,5.3 ,3.7 , 7.5
Muanza,6.7 ,4.0 , 10.5
Muecate,6.2 ,4.2 , 8.7
Mueda,16.7 ,13.0 , 20.8
Muembe,4.0 ,2.5 , 6.0
Muidumbe,20.1 ,14.6 , 26.7
Mulevala,8.9 ,6.2 , 12.3
Mutarara,3.2 ,2.0 , 4.5
Mágoè,4.1 ,2.6 , 5.9
Nacala,9.8 ,6.8 , 13.7
Nacala-a-Velha,6.2 ,3.7 , 9.3
Nacarôa,5.5 ,3.6 , 8.1
Namaacha,19.4 ,13.1 , 26.0
Namacurra,19.4 ,15.2 , 24.7
Namarói,5.7 ,3.9 , 8.0
Nampula,8.6 ,7.2 , 10.3
Namuno,8.4 ,5.6 , 12.0
Nangade,9.3 ,6.1 , 13.8
Ngaúma,3.9 ,2.4 , 5.8
Nhamatanda,10.1 ,7.3 , 13.2
Nhlamankulu,8.6 ,6.3 , 11.3
Nicoadala,17.3 ,12.6 , 22.3
Nipepe,3.8 ,2.5 , 5.8
Palma,8.3 ,5.0 , 12.7
Panda,8.6 ,6.1 , 11.6
Pebane,16.6 ,13.2 , 20.0
Pemba,10.4 ,8.1 , 13.1
Quelimane,22.3 ,18.9 , 25.9
Quissanga,7.0 ,4.2 , 10.6
Rapale,4.8 ,3.1 , 7.2
Ribáuè,5.7 ,3.8 , 8.2
Sanga,4.4 ,2.8 , 6.6
Sussendenga,7.2 ,5.1 , 9.7
Tambara,6.5 ,4.4 , 9.2
Tete,9.4 ,7.8 , 11.1
Tsangano,1.4 ,0.8 , 2.3
Vanduzi,8.9 ,6.5 , 11.8
Vilankulo,11.6 ,8.5 , 14.9
Xai-Xai,20.2 ,15.7 , 25.7
Zavala,10.2 ,7.1 , 14.0
Zumbu,1.9 ,1.0 , 3.1
National,9.5 ,7.3,12.2
