States,2019,2019_lower, 2019_upper
KaMpfumu,3.47 ,2.77 , <0.01
KaMubukwana,3.95 ,3.05 , <0.01
KaNyaka,3.41 ,1.74 , <0.01
KaTembe,5.26 ,2.71 , <0.01
Lago,5.52 ,3.24 , <0.01
Lalaua,6.30 ,3.71 , <0.01
Larde,12.30 ,6.97 , 0.02
Lichinga,8.83 ,6.15 , 0.01
Limpopo,9.76 ,7.81 , 0.01
Liúpo,5.07 ,2.95 , <0.01
Luabo,12.10 ,7.01 , 0.02
Lugela,9.10 ,5.24 , 0.01
Mabalane,10.09 ,7.00 , 0.01
Mabote,10.88 ,7.88 , 0.01
Macanga,0.62 ,0.33 , <0.01
Macate,4.84 ,2.88 , <0.01
Machanga,13.27 ,8.67 , 0.02
Machaze,6.06 ,4.06 , <0.01
Macomia,14.23 ,8.63 , 0.02
Macossa,6.13 ,3.77 , <0.01
Maganja da Costa,16.28 ,11.17 , 0.02
Magude,27.76 ,19.76 , 0.04
Majune,4.81 ,2.88 , <0.01
Malema,6.23 ,3.71 , <0.01
Mandimba,5.74 ,3.88 , <0.01
Mandlakazi,8.48 ,6.25 , 0.01
Manhiça,22.16 ,17.08 , 0.03
Manica,6.54 ,4.42 , <0.01
Mapai,8.79 ,6.06 , 0.01
Marara,2.22 ,1.31 , <0.01
Marracuene,16.84 ,11.73 , 0.02
Marromeu,15.79 ,11.02 , 0.02
Marrupa,5.00 ,3.08 , <0.01
Marávia,1.04 ,0.58 , <0.01
Maríngué,6.79 ,4.08 , 0.01
Massangena,7.84 ,5.37 , 0.01
Massinga,10.76 ,7.77 , 0.01
Massingir,10.11 ,6.55 , 0.01
Matola,12.83 ,10.62 , 0.02
Matutuíne,31.61 ,21.70 , 0.04
Mavago,6.53 ,3.77 , 0.01
Maxixe,9.26 ,7.04 , 0.01
Maúa,6.01 ,3.56 , <0.01
Mecanhelas,4.24 ,2.65 , <0.01
Meconta,10.75 ,6.64 , 0.02
Mecubúri,5.51 ,3.30 , <0.01
Mecufi,6.84 ,3.78 , 0.01
Mecula,9.40 ,5.52 , 0.01
Meluco,11.88 ,7.22 , 0.02
Memba,5.23 ,2.93 , <0.01
Metarica,3.33 ,1.85 , <0.01
Metuge,8.67 ,5.05 , 0.01
Milange,6.64 ,4.31 , <0.01
Moamba,27.19 ,18.42 , 0.04
Moatize,2.18 ,1.63 , <0.01
Mocuba,11.40 ,8.43 , 0.02
Mocubela,16.44 ,11.14 , 0.02
Mocímboa da Praia,11.91 ,7.41 , 0.02
Mogincual,4.98 ,2.98 , <0.01
Mogovolas,7.06 ,4.48 , 0.01
Molumbo,5.87 ,3.44 , <0.01
Moma,9.87 ,6.34 , 0.01
Monapo,9.82 ,6.52 , 0.01
Montepuez,8.42 ,5.34 , 0.01
Mopeia,11.42 ,7.34 , 0.02
Morrumbala,9.10 ,5.96 , 0.01
Morrumbene,8.50 ,5.74 , 0.01
Morrupula,6.24 ,3.64 , <0.01
Mossuril,7.11 ,4.19 , 0.01
Mossurize,3.30 ,2.11 , <0.01
Muanza,7.87 ,4.40 , 0.01
Muecate,7.66 ,4.43 , 0.01
Mueda,14.17 ,9.98 , 0.02
Muembe,4.46 ,2.48 , <0.01
Muidumbe,23.39 ,13.08 , 0.04
Mulevala,9.01 ,5.48 , 0.01
Mutarara,1.52 ,0.89 , <0.01
Mágoè,1.94 ,1.16 , <0.01
Nacala,11.76 ,7.26 , 0.02
Nacala-a-Velha,7.78 ,4.31 , 0.01
Nacarôa,7.28 ,4.28 , 0.01
Namaacha,21.67 ,14.59 , 0.03
Namacurra,19.76 ,15.04 , 0.03
Namarói,4.55 ,2.70 , <0.01
Nampula,8.99 ,6.94 , 0.01
Namuno,10.86 ,6.99 , 0.02
Nangade,10.37 ,6.18 , 0.02
Ngaúma,4.26 ,2.38 , <0.01
Nhamatanda,11.38 ,7.55 , 0.02
Nhlamankulu,5.16 ,4.04 , <0.01
Nicoadala,18.85 ,12.92 , 0.03
Nipepe,4.42 ,2.50 , <0.01
Palma,7.89 ,4.18 , 0.01
Panda,7.34 ,4.98 , 0.01
Pebane,12.84 ,9.52 , 0.02
Pemba,8.79 ,6.22 , 0.01
Quelimane,17.77 ,14.62 , 0.02
Quissanga,9.35 ,5.31 , 0.01
Rapale,6.59 ,3.91 , 0.01
Ribáuè,9.24 ,5.56 , 0.01
Sanga,5.40 ,3.38 , <0.01
Sussendenga,4.95 ,3.30 , <0.01
Tambara,5.60 ,3.42 , <0.01
Tete,4.41 ,3.57 , <0.01
Tsangano,0.76 ,0.42 , <0.01
Vanduzi,6.88 ,4.82 , <0.01
Vilankulo,10.12 ,7.29 , 0.01
Xai-Xai,10.30 ,7.93 , 0.01
Zavala,9.60 ,6.43 , 0.01
Zumbu,0.97 ,0.51 , <0.01
National,8.94 ,5.42,14.31
