States,2019,2019_lower, 2019_upper
Namuno,5.63 ,3.69 , <0.01
Nangade,5.33 ,3.24 , <0.01
Ngaúma,2.28 ,1.28 , <0.01
Nhamatanda,6.08 ,4.11 , <0.01
Nhlamankulu,4.01 ,3.20 , <0.01
Nicoadala,9.26 ,6.52 , 0.01
Nipepe,2.27 ,1.30 , <0.01
Palma,4.44 ,2.39 , <0.01
Panda,3.43 ,2.36 , <0.01
Pebane,6.05 ,4.58 , <0.01
Pemba,4.98 ,3.56 , <0.01
Quelimane,9.52 ,7.87 , 0.01
Quissanga,4.99 ,2.88 , <0.01
Rapale,3.44 ,2.05 , <0.01
Ribáuè,4.61 ,2.82 , <0.01
Sanga,2.88 ,1.82 , <0.01
Sussendenga,2.60 ,1.75 , <0.01
Tambara,2.70 ,1.68 , <0.01
Tete,3.01 ,2.47 , <0.01
Tsangano,0.44 ,0.24 , <0.01
Vanduzi,3.48 ,2.48 , <0.01
Vilankulo,5.15 ,3.79 , <0.01
Xai-Xai,5.32 ,4.11 , <0.01
Zavala,4.74 ,3.25 , <0.01
Zumbu,0.50 ,0.27 , <0.01
National,5.32 ,3.28,8.35
