Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Botswana,7.45 ,3.26 , 13.13,9.94 ,4.56 , 17.60,12.30 ,5.41 , 21.61,14.34 ,6.36 , 25.62,15.68 ,7.13 , 27.75,16.07 ,7.62 , 28.67,15.38 ,7.18 , 27.44,14.03 ,6.80 , 25.10,12.47 ,6.05 , 22.71,10.93 ,5.33 , 18.43,9.57 ,4.81 , 16.02,8.43 ,4.38 , 13.69,7.52 ,3.96 , 11.53,6.75 ,3.61 , 10.19,6.17 ,3.26 , 9.17,5.59 ,3.01 , 8.10,5.18 ,2.79 , 7.23,4.81 ,2.50 , 6.60,4.57 ,2.43 , 6.22,4.33 ,2.33 , 5.87,4.15 ,2.20 , 5.52,3.96 ,2.11 , 5.50,3.61 ,1.91 , 4.98,3.35 ,1.72 , 4.71,3.19 ,1.66 , 4.47,3.09 ,1.63 , 4.39,2.93 ,1.57 , 4.24,2.76 ,1.48 , 4.05,2.67 ,1.47 , 3.97,2.51 ,1.38 , 3.79
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01
Burkina Faso,1.47 ,0.63 , 3.07,1.30 ,0.57 , 2.57,1.15 ,0.53 , 2.17,0.92 ,0.44 , 1.79,0.81 ,0.39 , 1.48,0.66 ,0.31 , 1.21,0.57 ,0.26 , 1.05,0.52 ,0.25 , 0.94,0.47 ,0.22 , 0.86,0.41 ,0.19 , 0.72,0.37 ,0.18 , 0.64,0.34 ,0.16 , 0.58,0.30 ,0.14 , 0.54,0.28 ,0.13 , 0.51,0.26 ,0.13 , 0.46,0.24 ,0.11 , 0.43,0.22 ,0.10 , 0.39,0.20 ,0.09 , 0.36,0.19 ,0.09 , 0.34,0.17 ,0.08 , 0.31,0.15 ,0.07 , 0.28,0.14 ,0.06 , 0.25,0.12 ,0.06 , 0.23,0.12 ,0.05 , 0.21,0.11 ,0.05 , 0.20,0.10 ,0.04 , 0.18,0.09 ,0.04 , 0.17,0.08 ,0.04 , 0.16,0.07 ,0.03 , 0.14,0.06 ,0.03 , 0.13
Burundi,1.91 ,0.67 , 4.00,1.73 ,0.63 , 3.41,1.48 ,0.50 , 2.95,1.27 ,0.44 , 2.72,1.05 ,0.35 , 2.09,0.87 ,0.31 , 1.71,0.73 ,0.27 , 1.41,0.60 ,0.23 , 1.17,0.52 ,0.20 , 1.00,0.44 ,0.18 , 0.85,0.38 ,0.15 , 0.73,0.32 ,0.13 , 0.61,0.30 ,0.12 , 0.59,0.26 ,0.10 , 0.49,0.24 ,0.09 , 0.47,0.22 ,0.08 , 0.43,0.21 ,0.08 , 0.41,0.20 ,0.07 , 0.38,0.18 ,0.06 , 0.35,0.16 ,0.06 , 0.32,0.15 ,0.05 , 0.29,0.14 ,0.05 , 0.27,0.12 ,0.04 , 0.25,0.12 ,0.04 , 0.23,0.10 ,0.03 , 0.21,0.10 ,0.03 , 0.20,0.09 ,0.03 , 0.18,0.07 ,0.02 , 0.15,0.06 ,0.02 , 0.14,0.05 ,0.02 , 0.11
Cabo Verde,0.29 ,0.08 , 0.72,0.29 ,0.08 , 0.62,0.29 ,0.08 , 0.57,0.20 ,0.08 , 0.48,0.20 ,0.08 , 0.44,0.20 ,0.08 , 0.39,0.19 ,0.08 , 0.39,0.19 ,0.08 , 0.46,0.19 ,0.08 , 0.42,0.19 ,0.08 , 0.41,0.19 ,0.07 , 0.41,0.18 ,0.07 , 0.40,0.18 ,0.07 , 0.39,0.18 ,0.07 , 0.39,0.17 ,0.07 , 0.38,0.17 ,0.07 , 0.33,0.13 ,0.06 , 0.29,0.13 ,0.06 , 0.25,0.12 ,0.06 , 0.22,0.12 ,0.06 , 0.21,0.12 ,0.06 , 0.20,0.11 ,0.06 , 0.19,0.11 ,0.05 , 0.19,0.10 ,0.05 , 0.21,0.10 ,0.05 , 0.20,0.10 ,0.02 , 0.19,0.09 ,0.02 , 0.19,0.09 ,0.02 , 0.18,0.09 ,0.02 , 0.18,0.09 ,0.02 , 0.17
Cambodia,0.04 ,0.01 , 0.07,0.10 ,0.04 , 0.18,0.25 ,0.09 , 0.43,0.46 ,0.16 , 0.78,0.64 ,0.23 , 1.11,0.72 ,0.26 , 1.24,0.73 ,0.26 , 1.26,0.70 ,0.25 , 1.19,0.64 ,0.23 , 1.11,0.56 ,0.20 , 0.95,0.46 ,0.16 , 0.81,0.36 ,0.13 , 0.62,0.30 ,0.10 , 0.51,0.26 ,0.09 , 0.43,0.21 ,0.07 , 0.36,0.18 ,0.06 , 0.30,0.14 ,0.05 , 0.25,0.11 ,0.04 , 0.19,0.09 ,0.03 , 0.15,0.07 ,0.02 , 0.12,0.06 ,0.02 , 0.10,0.05 ,0.02 , 0.08,0.04 ,0.01 , 0.07,0.03 ,0.01 , 0.06,0.03 ,0.01 , 0.05,0.03 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.03,0.02 ,<0.01 , 0.03,0.01 ,<0.01 , 0.02
Cameroon,1.12 ,0.55 , 2.10,1.52 ,0.77 , 2.89,1.97 ,1.00 , 3.85,2.48 ,1.28 , 4.91,2.98 ,1.53 , 5.68,3.50 ,1.78 , 6.49,3.83 ,1.97 , 7.03,4.04 ,2.13 , 7.33,4.06 ,2.07 , 7.49,3.92 ,2.03 , 7.07,3.58 ,1.82 , 6.48,3.23 ,1.62 , 5.69,2.84 ,1.45 , 4.61,2.50 ,1.31 , 4.24,2.23 ,1.19 , 3.68,2.01 ,1.09 , 3.34,1.85 ,0.99 , 3.00,1.75 ,0.94 , 2.84,1.67 ,0.90 , 2.62,1.57 ,0.86 , 2.61,1.46 ,0.81 , 2.38,1.34 ,0.73 , 2.19,1.23 ,0.66 , 1.99,1.12 ,0.61 , 1.77,1.04 ,0.58 , 1.69,0.96 ,0.52 , 1.55,0.88 ,0.48 , 1.43,0.77 ,0.41 , 1.26,0.67 ,0.35 , 1.09,0.60 ,0.31 , 0.98
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
