Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,8 ,6 , 9,10 ,8 , 12,13 ,11 , 15,16 ,13 , 20,21 ,17 , 25,25 ,20 , 30,29 ,24 , 35,42 ,34 , 51,50 ,40 , 60,51 ,41 , 63
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,10 ,7 , 15,12 ,8 , 17,15 ,11 , 23,17 ,12 , 25,23 ,16 , 33,26 ,18 , 38,31 ,22 , 46,40 ,28 , 59,44 ,32 , 66,49 ,36 , 73
Dominican Republic,21 ,17 , 27,25 ,20 , 31,28 ,23 , 36,31 ,25 , 38,35 ,29 , 43,38 ,32 , 47,42 ,35 , 51,45 ,38 , 55,49 ,41 , 60,53 ,45 , 65
Ecuador,19 ,14 , 34,23 ,17 , 41,27 ,19 , 46,38 ,28 , 64,45 ,32 , 75,50 ,36 , 83,47 ,34 , 78,53 ,39 , 87,59 ,43 , 95,69 ,50 , >95
Egypt,9 ,6 , 14,9 ,7 , 15,10 ,8 , 15,11 ,8 , 16,14 ,10 , 20,15 ,11 , 20,17 ,13 , 23,22 ,16 , 28,26 ,18 , 33,23 ,17 , 31
El Salvador,31 ,27 , 36,33 ,28 , 38,39 ,34 , 46,43 ,37 , 49,44 ,38 , 51,42 ,36 , 49,46 ,40 , 53,48 ,42 , 56,48 ,42 , 56,49 ,43 , 58
Equatorial Guinea,8 ,7 , 10,13 ,11 , 15,18 ,16 , 21,37 ,31 , 44,34 ,29 , 41,34 ,28 , 41,41 ,34 , 51,54 ,43 , 68,53 ,41 , 68,52 ,39 , 70
Eritrea,28 ,22 , 37,35 ,27 , 46,40 ,30 , 52,45 ,34 , 59,52 ,40 , 68,57 ,43 , 75,58 ,44 , 76,65 ,49 , 87,67 ,50 , 90,67 ,50 , 91
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,35 ,32 , 37,38 ,35 , 41,42 ,39 , 45,48 ,44 , 51,59 ,55 , 63,70 ,65 , 75,80 ,74 , 86,91 ,84 , >95,92 ,86 , >95,>95 ,92 , >95
Ethiopia,36 ,27 , 45,42 ,33 , 54,43 ,33 , 55,49 ,37 , 62,55 ,42 , 70,60 ,46 , 77,64 ,49 , 82,67 ,52 , 85,69 ,53 , 88,75 ,58 , >95
Fiji,29 ,22 , 51,30 ,22 , 50,44 ,32 , 73,41 ,29 , 69,44 ,31 , 76,41 ,28 , 73,43 ,29 , 81,50 ,34 , 94,59 ,39 , >95,66 ,44 , >95
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,22 ,18 , 27,24 ,19 , 30,33 ,26 , 40,42 ,33 , 52,44 ,34 , 55,54 ,41 , 68,63 ,48 , 79,66 ,50 , 83,69 ,51 , 88,53 ,39 , 68
Gambia,11 ,9 , 14,18 ,15 , 23,22 ,18 , 28,22 ,17 , 27,24 ,19 , 30,25 ,20 , 32,29 ,24 , 37,33 ,27 , 42,35 ,28 , 45,37 ,29 , 46
Georgia,26 ,20 , 36,29 ,23 , 40,39 ,30 , 56,42 ,31 , 60,49 ,36 , 72,50 ,36 , 76,54 ,38 , 83,54 ,37 , 87,54 ,36 , 89,54 ,34 , 90
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,13 ,11 , 15,21 ,16 , 25,25 ,19 , 29,26 ,20 , 32,29 ,22 , 35,32 ,24 , 40,35 ,26 , 44,38 ,28 , 49,40 ,30 , 54,54 ,39 , 72
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,28 ,22 , 35,36 ,29 , 45,38 ,30 , 48,43 ,35 , 55,46 ,38 , 59,44 ,36 , 55,44 ,37 , 54,46 ,40 , 56,50 ,43 , 60,53 ,46 , 63
Guinea,19 ,16 , 22,22 ,19 , 25,30 ,26 , 34,29 ,25 , 33,34 ,30 , 39,35 ,30 , 39,40 ,34 , 45,38 ,33 , 43,51 ,44 , 59,62 ,53 , 71
Guinea-Bissau,11 ,10 , 12,14 ,13 , 16,22 ,20 , 24,23 ,21 , 26,27 ,24 , 30,30 ,27 , 34,37 ,33 , 42,38 ,33 , 43,51 ,45 , 58,55 ,49 , 63
