Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Cambodia,,,,,,,,,,,,,,,,,,,6.9 ,4.6 , 11.2,11.4 ,7.7 , 18.6,13.7 ,9.0 , 23.2,10.9 ,7.4 , 17.7,24.8 ,16.7 , 40.9,39.6 ,27.4 , 61.9,47.0 ,32.6 , 73.6,50.5 ,34.9 , 79.2,54.0 ,37.6 , 84.3,46.3 ,32.1 , 72.6,53.1 ,36.8 , 83.2,53.2 ,38.4 , 78.4
Cameroon,,,,,,,,,,,,,,,,,,,0.6 ,0.4 , 0.9,9.5 ,6.6 , 15.2,12.4 ,8.5 , 19.8,19.5 ,13.2 , 31.9,22.7 ,15.3 , 37.1,25.0 ,17.2 , 39.6,27.3 ,18.8 , 43.1,31.0 ,21.4 , 49.0,32.7 ,22.6 , 51.5,39.5 ,27.4 , 62.1,46.5 ,32.2 , 72.9,50.7 ,35.1 , 79.6
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2 ,3.3 , 9.3,7.1 ,4.5 , 12.7,1.0 ,0.6 , 1.8,15.1 ,9.6 , 27.3,19.1 ,12.1 , 34.7,,,,,,,25.6 ,16.0 , 47.4,24.8 ,15.5 , 46.0
Chad,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,10.7 ,6.4 , 21.5,10.4 ,6.2 , 20.9,14.0 ,8.3 , 28.1,15.0 ,8.9 , 30.2,20.7 ,12.3 , 41.8,23.4 ,13.9 , 47.4,30.5 ,21.4 , 47.2,<0.1 ,<0.1 , <0.1,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8 ,16.8 , 44.7,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,0.5 ,0.3 , 0.9,4.1 ,2.5 , 8.2,4.6 ,2.7 , 9.2,8.9 ,5.3 , 18.2,17.6 ,10.3 , 36.7,14.4 ,8.3 , 30.9,29.5 ,16.7 , 65.4,27.8 ,15.6 , 63.5,33.0 ,18.2 , 77.6,34.9 ,24.5 , 54.0,38.2 ,26.8 , 59.1,,,
Colombia,,,,,,,,,,,,,,,,,,,50.6 ,39.4 , 67.5,45.7 ,36.1 , 59.7,,,,14.3 ,10.4 , 21.1,20.0 ,14.8 , 28.6,18.4 ,14.1 , 24.9,24.7 ,19.3 , 32.6,22.4 ,17.5 , 29.9,42.3 ,33.3 , 55.6,45.9 ,32.2 , 71.0,46.5 ,32.5 , 71.8,40.2 ,31.5 , 52.9
Comoros,,,,,,,,,,,,,,,,50.4 ,34.9 , 79.1,<0.1 ,<0.1 , <0.1,,<0.1 , Nil,,,,,<0.1 , Nil,,<0.1 , Nil,122.4 ,13.5 , Nil,50.4 ,34.9 , 79.0,49.2 ,34.1 , 77.2,11.9 ,8.3 , 18.7,,,,<0.1 ,<0.1 , <0.1,,,
Congo,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,3.9 ,2.5 , 7.4,0.8 ,0.5 , 1.4,<0.1 ,<0.1 , <0.1,0.5 ,0.3 , 0.9,3.7 ,2.4 , 6.4,3.1 ,2.0 , 5.3,2.6 ,1.6 , 4.9,1.8 ,1.1 , 3.5,3.2 ,2.0 , 6.1,4.4 ,2.7 , 8.5,3.5 ,2.2 , 6.8
Costa Rica,,,,,,,,,,41.2 ,32.4 , 54.3,,,,73.0 ,55.8 , 99.6,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,95.6 ,75.1 , 125.9,76.4 ,60.2 , 100.2,79.0 ,62.2 , 103.8,66.9 ,52.7 , 87.6,79.0 ,55.3 , 122.0,54.8 ,43.1 , 72.1
