Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Sri Lanka,,,,,,,,,,7.9 ,5.5 , 12.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,19.2 ,13.1 , 31.1,37.8 ,27.2 , 56.0,<0.1 ,<0.1 , <0.1,73.9 ,25.4 , 734.6,79.1 ,12.6 , Nil,223.0 ,48.2 , Nil,73.9 ,33.7 , 271.1,134.8 ,79.9 , 274.3,47.3 ,35.4 , 66.6,39.5 ,29.4 , 55.6,34.5 ,26.2 , 47.4,57.4 ,43.6 , 79.0
Sudan,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,1.6 ,0.9 , 3.8,<0.1 ,<0.1 , <0.1,3.6 ,2.1 , 7.9,22.6 ,12.1 , 56.1,33.1 ,18.4 , 76.4,20.5 ,11.4 , 47.5,7.5 ,4.0 , 18.8,4.0 ,2.1 , 10.3,12.9 ,6.7 , 34.1,15.4 ,7.9 , 42.0,17.2 ,12.0 , 26.6,,,,36.7 ,25.7 , 56.8
Suriname,,,,,,,,,,9.1 ,7.0 , 12.1,<0.1 ,<0.1 , <0.1,5.3 ,4.1 , 7.0,,,,,,,22.9 ,18.0 , 30.1,31.3 ,24.5 , 41.4,28.1 ,22.0 , 37.0,42.9 ,33.7 , 56.5,63.1 ,49.7 , 82.8,38.6 ,30.4 , 50.7,66.4 ,52.3 , 87.2,55.4 ,38.8 , 85.6,38.4 ,30.3 , 50.5,60.0 ,42.0 , 92.7
Syrian Arab Republic,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,203.3 ,123.9 , 393.7,<0.1 ,<0.1 , <0.1,38.6 ,23.5 , 74.7,<0.1 ,<0.1 , <0.1,100.0 ,70.0 , 154.5,35.4 ,21.6 , 68.4,11.4 ,6.8 , 22.4
Tajikistan,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,2.5 ,1.4 , 5.2,3.8 ,2.2 , 7.9,7.2 ,6.6 , 8.0,25.1 ,21.3 , 30.0,43.1 ,37.8 , 49.7,58.3 ,51.2 , 66.9,70.7 ,61.8 , 81.6,63.1 ,55.1 , 72.9,,,,73.9 ,51.7 , 114.2,41.6 ,29.2 , 64.3
Thailand,,,,,,,,,,,,,,,,,,,11.6 ,6.9 , 23.6,13.1 ,7.8 , 26.7,14.2 ,8.5 , 28.1,19.2 ,12.1 , 34.9,24.5 ,16.3 , 40.6,25.1 ,16.8 , 41.7,27.2 ,17.7 , 47.1,29.9 ,20.0 , 49.9,29.7 ,20.3 , 47.8,39.8 ,27.9 , 61.5,27.2 ,17.8 , 46.7,40.2 ,31.2 , 53.8
The former Yugoslav Republic of Macedonia,,,,,,,,,,,<0.1 , Nil,,<0.1 , Nil,,<0.1 , Nil,,,,,,,,,,,,,,,,,,,,,,,,,48.2 ,37.4 , 64.4,,,,,,,<0.1 ,<0.1 , Nil
Timor-Leste,,,,,,,,,,18.6 ,10.3 , 43.3,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,5.4 ,2.8 , 15.4,<0.1 ,<0.1 , <0.1,,,,13.0 ,6.8 , 34.3,11.2 ,5.6 , 33.0,21.9 ,10.6 , 69.9,50.4 ,23.4 , 177.6,45.6 ,31.9 , 70.4,39.1 ,27.3 , 60.4,42.5 ,29.3 , 67.0
Togo,,,,,,,,,,,,,,,,,,,,,,,,,3.3 ,2.2 , 5.4,9.6 ,6.5 , 15.7,25.8 ,17.4 , 42.5,36.2 ,25.0 , 56.9,50.3 ,34.9 , 78.8,52.9 ,36.7 , 82.6,46.0 ,32.0 , 71.9,63.2 ,44.3 , 97.7,74.4 ,52.1 , 114.9,77.7 ,54.4 , 120.1
Trinidad and Tobago,,,,,,,,,,26.8 ,22.6 , 32.3,25.0 ,19.9 , 32.2,37.4 ,31.0 , 45.9,259.5 ,224.1 , 304.1,22.6 ,19.5 , 26.5,49.5 ,39.1 , 64.6,7.0 ,6.0 , 8.3,34.8 ,30.0 , 40.8,22.1 ,19.0 , 25.9,28.8 ,24.9 , 33.8,43.3 ,37.3 , 50.7,56.4 ,48.7 , 66.1,35.0 ,30.1 , 41.0,68.3 ,47.8 , 105.5,25.9 ,22.4 , 30.4
Tunisia,,,,,,,,,,26.0 ,12.9 , 76.0,,,,40.6 ,21.5 , 104.3,53.2 ,28.8 , 129.5,102.9 ,56.8 , 240.2,26.2 ,14.7 , 59.1,25.1 ,14.2 , 56.1,70.7 ,40.3 , 155.4,71.1 ,40.5 , 156.1,84.6 ,48.2 , 185.2,102.2 ,58.4 , 223.0,65.2 ,37.3 , 142.5,73.2 ,51.2 , 113.1,100.0 ,70.0 , 154.5,60.7 ,47.4 , 80.3
Turkey,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,,,,9.5 ,8.0 , 11.4,30.0 ,25.3 , 36.1,41.4 ,34.9 , 49.8,36.3 ,30.8 , 43.4,38.6 ,32.8 , 46.0,55.6 ,47.2 , 66.3,55.6 ,47.2 , 66.3,18.1 ,15.4 , 21.6
Turkmenistan,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,1.9 ,1.3 , 3.1,2.3 ,1.5 , 3.6,3.8 ,2.6 , 6.1,8.8 ,6.0 , 14.0,9.6 ,6.5 , 15.6,12.5 ,8.5 , 20.1,17.7 ,12.8 , 26.1,26.6 ,18.7 , 41.0,37.0 ,25.9 , 57.1,44.8 ,30.5 , 71.9,43.8 ,28.8 , 74.6,46.4 ,30.2 , 80.0,48.9 ,34.3 , 75.6
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,22.8 ,15.9 , 35.5,18.4 ,12.8 , 28.6,30.7 ,21.3 , 47.9,38.0 ,26.4 , 59.4,49.7 ,34.7 , 77.3,50.2 ,35.0 , 78.0,49.1 ,34.3 , 76.2,44.9 ,31.4 , 69.4,48.7 ,34.1 , 75.2,55.0 ,38.5 , 85.0
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3 ,111.2 , 191.6,40.1 ,34.6 , 47.1,,,,21.0 ,18.0 , 24.9,40.3 ,33.8 , 48.8,62.2 ,53.6 , 73.0,79.3 ,67.9 , 94.0,70.0 ,60.2 , 82.5
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3 ,32.0 , 85.5
United Republic of Tanzania,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,0.2 ,0.1 , 0.4,0.2 ,0.1 , 0.4,4.8 ,3.0 , 8.8,6.2 ,3.9 , 11.6,7.4 ,4.5 , 14.1,9.2 ,5.7 , 17.5,10.8 ,6.5 , 21.2,16.0 ,9.5 , 32.4,23.7 ,13.6 , 50.9,27.0 ,15.6 , 57.9,29.6 ,17.0 , 63.5,36.4 ,25.5 , 56.2,42.1 ,29.5 , 65.1
Uruguay,,,,,,,,,,,,,,,,,,,24.0 ,20.6 , 28.1,21.5 ,18.6 , 25.3,15.7 ,12.5 , 20.4,14.7 ,11.8 , 18.8,26.6 ,21.0 , 34.7,22.7 ,19.6 , 26.7,41.9 ,36.2 , 49.0,44.4 ,38.3 , 52.1,44.6 ,38.3 , 52.4,41.6 ,35.9 , 48.9,44.4 ,38.3 , 52.1,44.1 ,38.0 , 51.7
Uzbekistan,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,4.6 ,3.7 , 5.7,4.0 ,3.0 , 5.6,21.9 ,15.2 , 34.1,7.8 ,6.0 , 10.5,26.9 ,18.7 , 42.0,18.6 ,12.9 , 29.0,8.0 ,5.6 , 12.5,66.5 ,56.7 , 79.2,28.8 ,22.9 , 37.4,33.5 ,23.5 , 51.8,,,,80.5 ,56.4 , 124.4
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,10.0 ,7.7 , 13.4,13.2 ,10.3 , 17.8,16.7 ,13.0 , 22.4,14.7 ,11.4 , 19.7,9.2 ,7.2 , 12.3,12.7 ,9.9 , 16.8,19.4 ,15.2 , 25.6,18.6 ,14.4 , 24.9,52.6 ,41.2 , 69.7,57.1 ,44.6 , 75.7,46.6 ,36.4 , 61.9,59.5 ,46.6 , 78.9,41.9 ,32.5 , 55.9,25.3 ,19.7 , 33.8
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,6.2 ,4.6 , 8.9,3.2 ,2.4 , 4.5,13.7 ,10.3 , 19.1,21.0 ,16.1 , 28.6,24.0 ,19.0 , 31.3,33.1 ,26.2 , 43.3,41.6 ,33.2 , 53.6,55.9 ,45.4 , 70.6,58.0 ,47.8 , 71.9,67.7 ,56.0 , 83.5
Yemen,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,21.1 ,11.4 , 51.7,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,30.0 ,21.0 , 46.4,,,,,,
Zambia,,,,,,,,,,0.9 ,0.7 , 1.2,0.6 ,0.4 , 0.8,0.9 ,0.6 , 1.2,5.7 ,4.1 , 8.3,14.0 ,9.6 , 22.1,18.4 ,12.7 , 29.1,20.6 ,14.3 , 32.3,26.3 ,18.2 , 41.1,31.6 ,21.9 , 49.3,35.1 ,24.3 , 55.0,41.7 ,29.0 , 65.3,45.7 ,31.7 , 71.4,42.4 ,29.4 , 66.6,49.6 ,34.6 , 77.3,51.0 ,35.5 , 79.6
Zimbabwe,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,3.3 ,2.2 , 5.2,9.3 ,6.4 , 14.7,18.0 ,13.4 , 25.4,31.4 ,25.0 , 40.7,40.1 ,30.3 , 55.7,47.9 ,35.9 , 67.1,57.7 ,44.6 , 77.7,55.8 ,42.1 , 77.6,49.7 ,38.0 , 67.8,70.0 ,49.0 , 108.2,62.0 ,43.4 , 95.8
