Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Botswana,13 000 ,12 000 , 15 000,18 000 ,17 000 , 20 000,23 000 ,21 000 , 25 000,27 000 ,25 000 , 29 000,29 000 ,27 000 , 32 000,30 000 ,28 000 , 33 000,29 000 ,27 000 , 32 000,27 000 ,25 000 , 30 000,25 000 ,22 000 , 27 000,22 000 ,20 000 , 24 000,20 000 ,18 000 , 21 000,18 000 ,16 000 , 19 000,17 000 ,15 000 , 17 000,15 000 ,14 000 , 16 000,14 000 ,14 000 , 15 000,14 000 ,13 000 , 14 000,13 000 ,12 000 , 14 000,12 000 ,12 000 , 13 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 12 000,11 000 ,10 000 , 12 000,10 000 ,9500 , 11 000,10 000 ,9200 , 11 000,10 000 ,9000 , 11 000,9600 ,8500 , 11 000,9200 ,8000 , 10 000,9100 ,7700 , 11 000,8700 ,7200 , 10 000
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Burkina Faso,17 000 ,11 000 , 22 000,15 000 ,11 000 , 20 000,13 000 ,9700 , 17 000,11 000 ,7700 , 15 000,9900 ,7000 , 13 000,8300 ,6100 , 11 000,7300 ,5500 , 9700,6900 ,5400 , 9000,6400 ,5000 , 8000,5800 ,4700 , 7200,5400 ,4400 , 6700,5100 ,4200 , 6200,4800 ,3800 , 5800,4500 ,3600 , 5500,4400 ,3500 , 5400,4100 ,3200 , 5100,3900 ,3000 , 4900,3700 ,2800 , 4600,3500 ,2700 , 4400,3300 ,2500 , 4200,3100 ,2300 , 4000,2900 ,2200 , 3800,2700 ,2000 , 3600,2500 ,1900 , 3500,2400 ,1700 , 3300,2300 ,1600 , 3200,2200 ,1600 , 3100,2000 ,1400 , 2900,1800 ,1300 , 2600,1700 ,1100 , 2600
Burundi,20 000 ,12 000 , 27 000,18 000 ,12 000 , 24 000,15 000 ,10 000 , 20 000,13 000 ,8500 , 17 000,10 000 ,7100 , 15 000,8600 ,6200 , 12 000,7200 ,5600 , 10 000,6100 ,4800 , 7800,5400 ,4400 , 6800,4700 ,3900 , 5800,4100 ,3400 , 4900,3600 ,3000 , 4300,3500 ,2800 , 4200,3100 ,2500 , 3700,3000 ,2400 , 3600,2800 ,2200 , 3500,2900 ,2300 , 3600,2700 ,2100 , 3400,2600 ,1900 , 3200,2400 ,1800 , 3000,2300 ,1700 , 2900,2200 ,1600 , 2800,2000 ,1500 , 2800,1900 ,1400 , 2700,1800 ,1300 , 2600,1700 ,1200 , 2500,1600 ,1000 , 2300,1400 ,<1000 , 2100,1200 ,<1000 , 1900,1000 ,<1000 , 1700
Cabo Verde,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Cambodia,<1000 ,<1000 , <1000,2400 ,2100 , 2700,6200 ,5400 , 7000,12 000 ,10 000 , 13 000,17 000 ,15 000 , 19 000,19 000 ,17 000 , 22 000,19 000 ,17 000 , 21 000,17 000 ,15 000 , 19 000,15 000 ,13 000 , 16 000,12 000 ,11 000 , 13 000,9000 ,8100 , 10 000,6500 ,5800 , 7200,5400 ,4900 , 6000,4700 ,4200 , 5200,4000 ,3600 , 4500,3400 ,3100 , 3800,2900 ,2600 , 3200,2400 ,2200 , 2700,2100 ,1900 , 2300,1800 ,1600 , 2000,1600 ,1400 , 1800,1400 ,1200 , 1500,1300 ,1100 , 1400,1200 ,1100 , 1300,1100 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Cameroon,11 000 ,7700 , 13 000,15 000 ,11 000 , 18 000,19 000 ,15 000 , 23 000,25 000 ,20 000 , 30 000,31 000 ,25 000 , 36 000,37 000 ,31 000 , 43 000,42 000 ,36 000 , 48 000,45 000 ,39 000 , 52 000,47 000 ,40 000 , 55 000,47 000 ,40 000 , 55 000,44 000 ,37 000 , 52 000,41 000 ,35 000 , 47 000,37 000 ,32 000 , 42 000,34 000 ,30 000 , 37 000,31 000 ,27 000 , 34 000,29 000 ,26 000 , 31 000,28 000 ,25 000 , 30 000,27 000 ,24 000 , 30 000,27 000 ,24 000 , 29 000,26 000 ,23 000 , 28 000,25 000 ,23 000 , 27 000,23 000 ,21 000 , 25 000,22 000 ,20 000 , 24 000,20 000 ,18 000 , 23 000,20 000 ,17 000 , 22 000,19 000 ,16 000 , 21 000,17 000 ,15 000 , 20 000,16 000 ,13 000 , 19 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,15 000 ,11 000 , 20 000,16 000 ,12 000 , 21 000,15 000 ,11 000 , 21 000,14 000 ,10 000 , 19 000,14 000 ,10 000 , 19 000,13 000 ,9900 , 17 000,12 000 ,9400 , 16 000,12 000 ,9500 , 15 000,11 000 ,8700 , 14 000,10 000 ,8300 , 12 000,9500 ,7900 , 11 000,9000 ,7600 , 11 000,8700 ,7200 , 10 000,8500 ,7200 , 10 000,8200 ,6900 , 9900,7800 ,6500 , 9400,7800 ,6600 , 9600,7500 ,6300 , 9400,7100 ,5900 , 9000,6900 ,5600 , 8800,6800 ,5400 , 8800,6500 ,5000 , 8500,6200 ,4700 , 8100,5900 ,4300 , 8000,5600 ,4000 , 7700,5100 ,3600 , 7300,4800 ,3200 , 7100,4500 ,2900 , 6900,4300 ,2700 , 6900,4100 ,2400 , 6900
Chad,6200 ,4100 , 10 000,6900 ,4800 , 11 000,7500 ,5400 , 11 000,7700 ,5700 , 11 000,7400 ,5400 , 10 000,7300 ,5300 , 9900,7300 ,5400 , 9600,6600 ,5000 , 8600,6300 ,4800 , 8100,5900 ,4600 , 7500,5800 ,4600 , 7400,5500 ,4400 , 6800,5300 ,4200 , 6500,5500 ,4400 , 6700,4900 ,3900 , 6000,5100 ,4000 , 6200,4800 ,3800 , 5800,4800 ,3700 , 5800,4700 ,3700 , 5800,4300 ,3300 , 5200,4200 ,3200 , 5300,4100 ,3000 , 5100,4100 ,3100 , 5200,4000 ,3000 , 5400,4000 ,2900 , 5300,3800 ,2700 , 5100,3500 ,2300 , 4800,3600 ,2300 , 5000,3600 ,2300 , 5400,3400 ,2200 , 5300
Chile,<1000 ,<1000 , <1000,1100 ,1000 , 1200,1300 ,1200 , 1400,1500 ,1400 , 1600,1700 ,1600 , 1800,1800 ,1800 , 1900,2000 ,1900 , 2100,2100 ,2000 , 2200,2100 ,2000 , 2200,2100 ,2000 , 2300,2100 ,2000 , 2300,2100 ,1900 , 2200,2000 ,1800 , 2100,1900 ,1700 , 2000,1800 ,1700 , 2000,1900 ,1700 , 2000,1900 ,1800 , 2100,2100 ,1900 , 2300,2300 ,2100 , 2500,2600 ,2300 , 2800,2900 ,2700 , 3200,3300 ,3000 , 3600,3600 ,3300 , 4000,3900 ,3600 , 4300,4200 ,3800 , 4600,4300 ,4000 , 4800,4500 ,4000 , 5000,4500 ,4000 , 5100,4600 ,4000 , 5100,4500 ,3800 , 5200
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,7300 ,3300 , 42 000,8700 ,4300 , 36 000,9700 ,5300 , 33 000,11 000 ,6300 , 28 000,11 000 ,7300 , 24 000,11 000 ,7800 , 21 000,11 000 ,7900 , 17 000,10 000 ,7800 , 17 000,9900 ,7600 , 16 000,9600 ,7300 , 14 000,9400 ,7100 , 13 000,9300 ,6900 , 12 000,8800 ,6700 , 11 000,7400 ,5700 , 9300,7900 ,6300 , 9800,8100 ,6400 , 9900,8600 ,6700 , 10 000,8300 ,6600 , 10 000,8000 ,5600 , 10 000,8900 ,6300 , 12 000,10 000 ,7700 , 13 000,10 000 ,7800 , 13 000,10 000 ,7900 , 14 000,10 000 ,7800 , 14 000,11 000 ,7700 , 14 000,10 000 ,7400 , 14 000,10 000 ,7100 , 15 000,10 000 ,6900 , 15 000,10 000 ,6900 , 16 000,11 000 ,6900 , 16 000
