Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Lao People's Democratic Republic,19 ,17 , 22,21 ,19 , 24,24 ,21 , 27,26 ,23 , 30,30 ,27 , 34,34 ,30 , 38,39 ,34 , 44,46 ,40 , 52,51 ,45 , 58,56 ,49 , 63
Latvia,13 ,8 , 17,14 ,8 , 19,15 ,9 , 21,17 ,10 , 23,18 ,11 , 25,20 ,12 , 27,36 ,22 , 48,42 ,26 , 57,47 ,29 , 63,53 ,32 , 70
Lebanon,32 ,20 , 48,35 ,22 , 53,36 ,23 , 55,38 ,24 , 59,41 ,25 , 62,43 ,26 , 65,47 ,29 , 73,52 ,31 , 81,57 ,33 , 89,63 ,36 , >95
Lesotho,31 ,29 , 33,37 ,36 , 40,44 ,41 , 47,50 ,47 , 53,56 ,53 , 60,59 ,56 , 63,62 ,58 , 66,63 ,59 , 67,64 ,60 , 69,65 ,61 , 70
Liberia,9 ,7 , 11,12 ,10 , 14,11 ,9 , 13,13 ,10 , 16,14 ,11 , 17,15 ,12 , 19,17 ,13 , 21,25 ,19 , 31,30 ,23 , 37,33 ,26 , 42
Libya,30 ,21 , 39,30 ,21 , 39,31 ,22 , 41,32 ,23 , 41,34 ,25 , 44,37 ,27 , 48,35 ,26 , 45,35 ,27 , 45,34 ,26 , 43,34 ,26 , 43
Lithuania,7 ,6 , 9,9 ,8 , 11,12 ,10 , 14,17 ,15 , 21,14 ,12 , 16,21 ,18 , 25,23 ,19 , 27,26 ,22 , 30,34 ,29 , 40,35 ,30 , 42
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,3 ,2 , 3,3 ,3 , 4,3 ,2 , 3,3 ,3 , 4,4 ,3 , 5,5 ,4 , 7,6 ,5 , 8,8 ,6 , 9,10 ,8 , 13,13 ,11 , 17
Malawi,28 ,24 , 30,35 ,31 , 38,43 ,38 , 47,49 ,44 , 54,55 ,49 , 59,60 ,53 , 64,67 ,60 , 72,73 ,65 , 78,78 ,70 , 83,79 ,71 , 84
Malaysia,18 ,16 , 22,20 ,17 , 23,20 ,18 , 23,23 ,20 , 26,28 ,25 , 32,33 ,29 , 38,45 ,40 , 51,48 ,43 , 54,49 ,44 , 55,50 ,45 , 56
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,21 ,18 , 25,24 ,20 , 29,23 ,19 , 28,23 ,19 , 27,24 ,20 , 29,26 ,22 , 31,28 ,23 , 33,30 ,25 , 37,33 ,27 , 41,36 ,29 , 45
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,23 ,19 , 27,25 ,21 , 30,26 ,22 , 33,32 ,26 , 40,35 ,28 , 45,39 ,31 , 51,42 ,33 , 57,50 ,38 , 70,52 ,39 , 73,57 ,42 , 83
Mauritius,6 ,5 , 7,12 ,11 , 14,14 ,13 , 16,16 ,15 , 18,21 ,19 , 24,23 ,20 , 26,23 ,20 , 26,24 ,21 , 27,25 ,21 , 28,25 ,22 , 29
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,6 ,6 , 7,9 ,8 , 10,12 ,10 , 13,19 ,17 , 22,24 ,22 , 28,27 ,24 , 31,28 ,25 , 32,31 ,28 , 35,32 ,29 , 36,32 ,29 , 36
Montenegro,34 ,12 , 67,32 ,11 , 62,32 ,11 , 61,34 ,11 , 65,36 ,11 , 69,37 ,12 , 72,41 ,13 , 77,45 ,15 , 84,48 ,15 , 86,49 ,15 , 91
Morocco,19 ,15 , 24,23 ,18 , 30,29 ,24 , 38,34 ,28 , 45,39 ,32 , 51,46 ,38 , 61,53 ,44 , 71,57 ,47 , 75,65 ,54 , 85,70 ,58 , 92
Mozambique,14 ,11 , 17,16 ,13 , 20,18 ,14 , 22,25 ,20 , 31,31 ,25 , 39,37 ,30 , 46,44 ,36 , 55,50 ,40 , 62,56 ,45 , 69,60 ,48 , 74
Myanmar,13 ,11 , 15,17 ,15 , 20,23 ,20 , 26,28 ,25 , 33,36 ,31 , 41,44 ,39 , 51,53 ,46 , 61,61 ,54 , 69,69 ,61 , 79,76 ,68 , 87
Namibia,42 ,39 , 45,50 ,47 , 54,55 ,52 , 59,59 ,55 , 63,58 ,54 , 62,65 ,61 , 70,65 ,61 , 70,74 ,69 , 79,78 ,73 , 83,85 ,79 , 91
Nepal,15 ,13 , 18,21 ,18 , 24,25 ,22 , 30,30 ,26 , 35,36 ,31 , 42,41 ,36 , 48,46 ,40 , 52,53 ,47 , 61,58 ,51 , 67,63 ,56 , 72
Netherlands,64 ,59 , 69,67 ,61 , 72,70 ,64 , 75,73 ,67 , 79,76 ,70 , 82,79 ,72 , 85,81 ,74 , 87,83 ,75 , 90,85 ,77 , 93,87 ,78 , >95
New Zealand,62 ,42 , 87,64 ,42 , 91,65 ,42 , 94,67 ,43 , >95,69 ,44 , >95,73 ,45 , >95,76 ,47 , >95,79 ,49 , >95,82 ,50 , >95,86 ,51 , >95
Nicaragua,17 ,14 , 21,22 ,18 , 27,26 ,21 , 33,28 ,23 , 35,33 ,27 , 42,37 ,30 , 46,42 ,34 , 52,47 ,38 , 58,54 ,44 , 68,59 ,47 , 74
Niger,20 ,17 , 23,26 ,23 , 29,31 ,28 , 35,34 ,30 , 38,32 ,29 , 36,37 ,33 , 42,45 ,40 , 51,55 ,49 , 62,59 ,52 , 67,61 ,54 , 71
Nigeria,25 ,19 , 34,29 ,21 , 38,36 ,27 , 48,42 ,31 , 57,46 ,35 , 62,50 ,37 , 67,55 ,41 , 74,57 ,43 , 77,59 ,44 , 79,65 ,49 , 87
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,30 ,24 , 41,35 ,28 , 48,38 ,30 , 51,43 ,34 , 55,44 ,35 , 55,43 ,34 , 53,47 ,37 , 58,52 ,40 , 63,56 ,43 , 68,61 ,47 , 74
Pakistan,3 ,2 , 3,3 ,2 , 3,3 ,3 , 4,3 ,3 , 4,4 ,4 , 5,5 ,4 , 6,6 ,6 , 7,8 ,7 , 9,9 ,8 , 11,12 ,11 , 14
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,23 ,21 , 26,27 ,24 , 31,32 ,29 , 37,39 ,35 , 44,46 ,41 , 51,50 ,46 , 56,54 ,49 , 60,56 ,51 , 62,60 ,54 , 66,62 ,56 , 68
Paraguay,15 ,11 , 21,16 ,12 , 22,18 ,13 , 25,21 ,16 , 30,24 ,18 , 34,26 ,20 , 38,31 ,24 , 44,37 ,29 , 54,40 ,31 , 58,44 ,34 , 63
Peru,35 ,30 , 40,36 ,31 , 42,45 ,39 , 51,44 ,39 , 51,49 ,43 , 57,52 ,45 , 61,58 ,50 , 67,62 ,53 , 72,69 ,59 , 80,77 ,66 , 89
Philippines,8 ,7 , 9,12 ,10 , 14,14 ,12 , 16,16 ,13 , 18,20 ,17 , 23,24 ,21 , 29,30 ,25 , 35,35 ,29 , 41,40 ,34 , 47,44 ,37 , 52
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,10 ,8 , 12,13 ,11 , 15,15 ,13 , 19,18 ,15 , 22,22 ,19 , 27,27 ,23 , 33,31 ,27 , 38,36 ,30 , 44,41 ,35 , 50,46 ,39 , 56
Romania,49 ,44 , 57,49 ,44 , 56,50 ,44 , 57,54 ,48 , 62,57 ,50 , 65,61 ,54 , 71,62 ,54 , 71,64 ,56 , 74,65 ,57 , 75,68 ,59 , 79
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,42 ,37 , 46,46 ,41 , 50,53 ,47 , 58,59 ,53 , 64,65 ,58 , 71,71 ,64 , 77,79 ,71 , 86,82 ,73 , 89,84 ,75 , 92,87 ,77 , 95
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
