Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Côte d'Ivoire,46 ,35 , 55,43 ,33 , 51,57 ,44 , 66,71 ,54 , 85,82 ,64 , 95,84 ,65 , >95,83 ,63 , >95,87 ,68 , >95,86 ,66 , >95,80 ,63 , 95
Democratic People's Republic of Korea,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1
Democratic Republic of the Congo,6 ,4 , 7,9 ,6 , 11,9 ,7 , 12,22 ,17 , 28,36 ,26 , 46,43 ,31 , 56,47 ,35 , 60,44 ,32 , 55,36 ,27 , 46,45 ,33 , 58
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,12 ,8 , 19,16 ,11 , 26,17 ,11 , 27,14 ,9 , 23,31 ,20 , 51,42 ,28 , 68,52 ,34 , 82,35 ,22 , 58,46 ,31 , 74,35 ,24 , 56
Dominican Republic,54 ,44 , 73,81 ,65 , >95,>95 ,84 , >95,83 ,67 , >95,>95 ,80 , >95,87 ,71 , >95,94 ,76 , >95,89 ,73 , >95,89 ,74 , >95,80 ,65 , >95
Ecuador,49 ,34 , 86,52 ,37 , 94,55 ,40 , >95,55 ,40 , >95,56 ,42 , >95,56 ,42 , >95,56 ,42 , 89,56 ,43 , 91,57 ,44 , 91,88 ,68 , >95
Egypt,12 ,9 , 20,6 ,5 , 10,7 ,5 , 10,24 ,17 , 35,17 ,12 , 23,14 ,10 , 20,19 ,13 , 26,17 ,12 , 22,15 ,11 , 21,16 ,11 , 21
El Salvador,28 ,24 , 33,35 ,30 , 40,50 ,43 , 58,59 ,50 , 71,58 ,49 , 69,56 ,47 , 68,52 ,44 , 62,54 ,46 , 65,47 ,39 , 57,56 ,47 , 68
Equatorial Guinea,16 ,12 , 20,8 ,6 , 10,13 ,10 , 17,59 ,43 , 75,56 ,42 , 72,44 ,31 , 56,67 ,48 , 90,61 ,44 , 82,49 ,35 , 67,48 ,33 , 68
