Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Brunei Darussalam,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,1 ,0 , 2
Bulgaria,2 ,1 , 4,3 ,1 , 6,2 ,0 , 4,2 ,1 , 5,2 ,1 , 5,3 ,1 , 6,3 ,1 , 7,4 ,1 , 9,5 ,1 , 10,5 ,1 , 10,1 ,0 , 2,2 ,1 , 4,1 ,0 , 3,1 ,0 , 3,1 ,0 , 3,4 ,1 , 9,0 ,0 , 0,1 ,0 , 3,4 ,1 , 8
Burkina Faso,1500 ,590 , 2900,1500 ,560 , 2800,970 ,320 , 2000,990 ,330 , 2000,930 ,310 , 1900,840 ,280 , 1700,1100 ,730 , 1700,1200 ,740 , 1900,880 ,560 , 1300,730 ,460 , 1100,660 ,420 , 950,580 ,380 , 840,490 ,310 , 710,430 ,270 , 620,400 ,250 , 580,310 ,200 , 450,320 ,210 , 460,310 ,200 , 450,310 ,200 , 440
Burundi,4300 ,1900 , 7800,3900 ,1700 , 7000,2500 ,930 , 4800,2300 ,870 , 4400,2000 ,760 , 3900,1800 ,680 , 3600,1700 ,620 , 3300,1700 ,630 , 3300,1400 ,500 , 2700,1200 ,440 , 2400,1000 ,660 , 1500,1100 ,680 , 1500,890 ,570 , 1300,630 ,410 , 900,620 ,390 , 890,660 ,420 , 950,510 ,320 , 730,470 ,300 , 680,480 ,300 , 690
Cabo Verde,10 ,3 , 22,11 ,3 , 23,5 ,1 , 10,8 ,2 , 18,8 ,2 , 17,4 ,2 , 7,7 ,2 , 15,8 ,3 , 17,10 ,3 , 21,10 ,3 , 22,11 ,4 , 24,14 ,9 , 21,13 ,8 , 19,6 ,4 , 10,7 ,4 , 10,8 ,5 , 12,5 ,3 , 8,7 ,4 , 11,7 ,4 , 11
Cambodia,2200 ,610 , 4900,4600 ,2700 , 6900,3900 ,2300 , 5900,3400 ,2000 , 5100,3000 ,1800 , 4500,2500 ,1500 , 3700,2400 ,1400 , 3500,2200 ,1300 , 3200,1900 ,1100 , 2900,1700 ,1100 , 2500,1300 ,790 , 1900,1100 ,690 , 1500,830 ,540 , 1200,770 ,490 , 1100,520 ,330 , 750,480 ,300 , 710,470 ,290 , 700,410 ,240 , 610,380 ,210 , 600
Cameroon,16 000 ,7400 , 28 000,16 000 ,7300 , 27 000,12 000 ,5100 , 23 000,12 000 ,5300 , 23 000,12 000 ,5300 , 23 000,12 000 ,5000 , 21 000,11 000 ,4700 , 20 000,12 000 ,5200 , 20 000,10 000 ,6500 , 15 000,9900 ,6300 , 14 000,8600 ,5200 , 13 000,9100 ,5800 , 13 000,8600 ,5500 , 12 000,8500 ,5400 , 12 000,7600 ,4900 , 11 000,7100 ,4600 , 10 000,6700 ,4300 , 9700,6000 ,3800 , 8700,5700 ,3600 , 8200
Canada,44 ,14 , 91,41 ,13 , 85,39 ,12 , 80,40 ,13 , 83,20 ,6 , 42,23 ,7 , 49,20 ,6 , 42,15 ,4 , 32,16 ,5 , 34,14 ,8 , 21,9 ,6 , 14,16 ,5 , 34,20 ,6 , 43,14 ,4 , 30,14 ,4 , 29,13 ,4 , 28,20 ,6 , 43,19 ,6 , 41,13 ,4 , 28
Central African Republic,8200 ,4300 , 13 000,8600 ,4400 , 14 000,6100 ,2800 , 11 000,6900 ,3200 , 12 000,7000 ,3200 , 12 000,7300 ,3400 , 13 000,6300 ,2900 , 11 000,6800 ,3200 , 12 000,6400 ,2900 , 11 000,5800 ,2700 , 10 000,6600 ,3000 , 11 000,7200 ,3300 , 13 000,6200 ,2900 , 11 000,5800 ,2600 , 10 000,4900 ,2100 , 8900,4600 ,1900 , 8400,3600 ,2300 , 5200,3500 ,2200 , 5100,3100 ,2000 , 4500
Chad,1800 ,650 , 3600,1900 ,680 , 3700,1300 ,420 , 2700,1500 ,500 , 3200,1600 ,510 , 3200,1400 ,480 , 3000,1500 ,490 , 3100,1800 ,600 , 3600,1600 ,530 , 3300,1500 ,500 , 3000,1400 ,480 , 2900,1500 ,510 , 3000,1500 ,520 , 3100,1500 ,490 , 2900,1300 ,430 , 2600,1700 ,1100 , 2500,1900 ,1200 , 2800,1700 ,1100 , 2400,1400 ,900 , 2000
Chile,60 ,19 , 120,58 ,18 , 120,51 ,16 , 110,53 ,17 , 110,34 ,10 , 73,40 ,12 , 84,36 ,11 , 76,28 ,8 , 60,31 ,9 , 65,32 ,9 , 67,39 ,12 , 82,40 ,12 , 83,45 ,14 , 94,33 ,10 , 71,39 ,13 , 80,60 ,39 , 85,58 ,37 , 82,55 ,36 , 79,58 ,42 , 77
China,13 000 ,6400 , 22 000,13 000 ,6600 , 22 000,8000 ,4000 , 13 000,7700 ,3900 , 13 000,5800 ,3000 , 9600,4600 ,2300 , 7600,4200 ,2100 , 6900,4100 ,2000 , 6800,3500 ,1700 , 5900,3600 ,1800 , 6000,3500 ,1700 , 5800,3900 ,2000 , 6500,3900 ,2000 , 6400,3600 ,1800 , 6000,3300 ,1700 , 5400,3100 ,1600 , 5100,3100 ,1600 , 5200,2600 ,1200 , 4400,2400 ,1200 , 4000
Colombia,300 ,95 , 630,300 ,95 , 630,190 ,55 , 390,210 ,63 , 450,210 ,62 , 440,190 ,57 , 400,160 ,110 , 230,240 ,78 , 510,290 ,200 , 400,300 ,200 , 410,240 ,76 , 500,280 ,89 , 580,500 ,360 , 660,540 ,390 , 710,420 ,310 , 550,430 ,310 , 560,470 ,340 , 610,410 ,300 , 540,450 ,330 , 590
