Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
China,24 000 ,12 000 , 39 000,25 000 ,13 000 , 41 000,15 000 ,8000 , 25 000,18 000 ,9300 , 29 000,18 000 ,9800 , 30 000,19 000 ,10 000 , 30 000,19 000 ,10 000 , 30 000,22 000 ,12 000 , 34 000,20 000 ,11 000 , 32 000,21 000 ,11 000 , 33 000,20 000 ,11 000 , 32 000,22 000 ,12 000 , 35 000,23 000 ,13 000 , 36 000,21 000 ,12 000 , 33 000,19 000 ,11 000 , 30 000,18 000 ,10 000 , 29 000,18 000 ,10 000 , 29 000,17 000 ,9400 , 27 000,18 000 ,9800 , 28 000
Colombia,1500 ,<500 , 3000,1500 ,<500 , 3000,<1000 ,<500 , 1900,1000 ,<500 , 2100,1000 ,<500 , 2100,<1000 ,<500 , 1900,<1000 ,<1000 , 1000,1100 ,<500 , 2300,1400 ,1100 , 1800,1300 ,<1000 , 1800,1100 ,<500 , 2300,1300 ,<500 , 2600,2300 ,1700 , 2900,2400 ,1900 , 3100,2000 ,1500 , 2500,2000 ,1500 , 2500,2200 ,1700 , 2800,1900 ,1500 , 2400,2100 ,1600 , 2700
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Congo,5600 ,4000 , 7500,6100 ,4200 , 8200,4800 ,3000 , 6900,5400 ,3000 , 8400,5500 ,3300 , 8400,5700 ,3100 , 9000,5600 ,3100 , 8900,6200 ,3400 , 9700,5900 ,3200 , 9200,5900 ,3300 , 9400,6000 ,3300 , 9500,6500 ,3900 , 9700,6600 ,4000 , 9800,6400 ,3500 , 10 000,6100 ,3300 , 9700,5800 ,3100 , 9400,5900 ,3100 , 9600,5500 ,2800 , 9000,5700 ,2900 , 9400
Costa Rica,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Cuba,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<200 ,<100 , <200,<100 ,<100 , <200
Cyprus,,,,,,,,,,,,,,,,,,,,,,<100 ,<100 , <100,<100 ,<100 , <100,,,,,,,,,,,,,,,,,,,,,,,,,<100 ,<100 , <100,,,
Czech Republic,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Côte d'Ivoire,35 000 ,18 000 , 57 000,33 000 ,17 000 , 55 000,24 000 ,11 000 , 43 000,24 000 ,11 000 , 43 000,22 000 ,9900 , 40 000,21 000 ,9200 , 37 000,19 000 ,8300 , 35 000,20 000 ,8700 , 35 000,13 000 ,8200 , 18 000,13 000 ,8100 , 18 000,9700 ,6300 , 14 000,10 000 ,6700 , 15 000,10 000 ,6600 , 15 000,9200 ,6500 , 12 000,8900 ,5800 , 13 000,8700 ,5600 , 12 000,7900 ,5100 , 11 000,7300 ,4700 , 10 000,7100 ,4500 , 10 000
Democratic People's Republic of Korea,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Democratic Republic of the Congo,48 000 ,19 000 , 91 000,48 000 ,19 000 , 92 000,33 000 ,11 000 , 66 000,36 000 ,12 000 , 71 000,36 000 ,12 000 , 72 000,36 000 ,12 000 , 73 000,36 000 ,12 000 , 72 000,16 000 ,10 000 , 24 000,16 000 ,9600 , 24 000,38 000 ,13 000 , 77 000,38 000 ,13 000 , 78 000,42 000 ,14 000 , 84 000,41 000 ,14 000 , 83 000,39 000 ,13 000 , 79 000,35 000 ,11 000 , 73 000,33 000 ,10 000 , 69 000,33 000 ,10 000 , 68 000,26 000 ,17 000 , 37 000,31 000 ,9400 , 65 000
Denmark,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Djibouti,1700 ,<1000 , 3000,1800 ,<1000 , 3300,<1000 ,<500 , 1900,1100 ,<500 , 2000,1000 ,<500 , 1800,1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,1300 ,<1000 , 2400,1200 ,<500 , 2200,1100 ,<500 , 2000,<1000 ,<500 , 1700,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <200,<100 ,<100 , <200
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,<100 ,<100 , <100,,,,<100 ,<100 , <100,,,,<100 ,<100 , <100,,,,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,,,
Dominican Republic,1900 ,<1000 , 3500,1700 ,<1000 , 3100,<1000 ,<500 , 1900,1200 ,<500 , 2300,1100 ,<500 , 2200,<1000 ,<500 , <1000,1000 ,<500 , 2100,1000 ,<500 , 2000,<1000 ,<500 , 1900,<500 ,<500 , <1000,<1000 ,<500 , 1800,1000 ,<500 , 2000,1100 ,<1000 , 1400,1400 ,1000 , 1700,1300 ,<1000 , 1600,1300 ,1000 , 1700,1300 ,<1000 , 1600,1200 ,<1000 , 1500,1200 ,<1000 , 1500
Ecuador,<1000 ,<200 , 1500,<1000 ,<200 , 1300,<500 ,<100 , <1000,<500 ,<200 , 1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,1000 ,<1000 , 1300
Egypt,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200
El Salvador,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<100 , <200,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
