Republic of Moldova,400,739,959,1150,1540,1883,2195,2516,2840,3128
Romania,3332,3398,3448,3372,3669,4045,4424,4562,4682,4864
Russian Federation,...,...,...,...,...,83 883,...,136 132,...,...
Rwanda,51 430,57 316,68 676,78 004,87 668,96 608,107 852,112 381,117 353,120 542
Saint Kitts and Nevis,,,,,,11,19,21,22,
Saint Lucia,,,,,,115,142,141,144,162
Saint Vincent and the Grenadines,,,,,,155,175,178,176,
Samoa,,,,,,,,3,3,3
Saudi Arabia,...,...,...,...,...,...,...,1303,1239,...
Senegal,8494,9195,8559,9401,10 992,11 745,14 400,15 691,18 043,19 457
Serbia,172,187,202,219,239,264,296,331,310,328
Seychelles,,,,,,,,...,...,
Sierra Leone,3257,4456,5560,6471,7911,9751,12 777,17 013,20 275,23 785
Singapore,137,166,207,331,355,417,425,428,470,512
Slovakia,...,...,...,...,...,78,81,84,80,...
Slovenia,...,...,...,...,...,...,...,...,...,...
Solomon Islands,,,,,,,,,9,
Somalia,439,607,784,1057,1083,1312,1504,1690,1803,1960
South Africa,868 331,1 195 745,1 550 730,1 838 535,2 116 015,2 415 150,2 718 895,3 008 560,3 247 450,3 505 194
South Sudan,1210,2342,2887,4598,7606,12 899,12 893,14 977,19 488,21 466
Spain,18 998,19 516,20 033,20 550,21 067,21 585,22 102,22 898,23 048,23 988
Sri Lanka,105,130,153,193,220,277,359,411,468,511
Sudan,731,917,1082,1357,1651,1794,2464,3266,3867,4315
Suriname,519,617,872,1063,1195,1234,1357,1406,1500,1494
Sweden,...,...,...,...,...,...,...,...,...,...
Switzerland,...,...,...,...,...,...,...,...,...,...
Syrian Arab Republic,26,31,37,38,40,51,56,56,56,59
Tajikistan,158,242,323,435,731,1137,1531,1937,2345,2838
Thailand,98 556,105 477,114 512,121 825,129 138,135 686,145 183,152 840,161 389,166 269
Timor-Leste,24,23,28,65,76,77,108,107,131,163
Togo,13 036,15 631,20 015,22 799,24 651,28 558,35 116,42 558,43 667,51 366
Trinidad and Tobago,2308,2527,2866,3024,3332,3492,3492,3212,3563,3865
