Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Haiti,... ,... , ...,... ,... , ...,... ,... , ...,52 ,45 , 58,63 ,54 , 71
Honduras,... ,... , ...,49 ,42 , 57,47 ,40 , 55,47 ,40 , 55,49 ,41 , 57
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),... ,... , ...,... ,... , ...,18 ,11 , 34,22 ,13 , 42,26 ,15 , 54
Ireland,... ,... , ...,... ,... , ...,73 ,61 , 84,76 ,65 , 88,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,67 ,41 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,31 ,26 , 43,33 ,28 , 45,39 ,33 , 53,45 ,37 , 60,53 ,44 , 71
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,24 ,22 , 26,28 ,26 , 31,45 ,41 , 50,46 ,42 , 51,55 ,49 , 61
Kenya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,74 ,65 , 86
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,22 ,<1 , <1,28 ,<1 , <1,34 ,<1 , <1,38 ,<1 , <1,44 ,44 , 44
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,... ,... , ...,... ,... , ...,33 ,21 , 48,37 ,23 , 54,39 ,24 , 56
Lesotho,... ,... , ...,... ,... , ...,... ,... , ...,66 ,61 , 70,66 ,61 , 70
Liberia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,19 ,16 , 23,22 ,18 , 26,27 ,23 , 33,31 ,26 , 36
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Malawi,62 ,56 , 67,70 ,63 , 75,73 ,66 , 78,79 ,71 , 84,81 ,74 , 87
Malaysia,44 ,40 , 50,60 ,54 , 68,... ,... , ...,... ,... , ...,... ,... , ...
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritius,... ,... , ...,... ,... , ...,... ,... , ...,12 ,11 , 15,17 ,15 , 20
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,25 ,22 , 28,25 ,22 , 28,24 ,22 , 27,27 ,24 , 30,29 ,26 , 33
Montenegro,... ,... , ...,38 ,12 , 67,32 ,11 , 58,45 ,15 , 79,48 ,15 , 80
Morocco,50 ,40 , 66,58 ,47 , 78,59 ,48 , 79,68 ,55 , 91,73 ,59 , >95
Mozambique,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,53 ,43 , 64
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,74 ,66 , 83,83 ,74 , 93
Namibia,64 ,59 , 68,65 ,60 , 69,73 ,68 , 78,79 ,74 , 85,83 ,77 , 89
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,65 ,58 , 74
Netherlands,80 ,73 , 87,82 ,74 , 88,83 ,75 , 89,84 ,76 , 91,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Niger,... ,... , ...,... ,... , ...,49 ,44 , 56,63 ,56 , 71,53 ,47 , 61
Nigeria,... ,... , ...,... ,... , ...,... ,... , ...,59 ,45 , 79,... ,... , ...
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,38 ,29 , 46,45 ,35 , 54,47 ,36 , 56,51 ,40 , 62,58 ,44 , 70
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,... ,... , ...,34 ,29 , 42,44 ,37 , 53,49 ,42 , 59
Romania,... ,... , ...,... ,... , ...,58 ,51 , 67,53 ,46 , 60,51 ,45 , 59
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,... ,... , ...,78 ,70 , 85,81 ,73 , 88,84 ,76 , 92,84 ,76 , 92
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,... ,... , ...,55 ,48 , 63,... ,... , ...,68 ,60 , 78,75 ,66 , 86
Serbia,52 ,44 , 60,57 ,48 , 65,63 ,52 , 72,58 ,47 , 67,60 ,49 , 71
Sierra Leone,18 ,16 , 21,23 ,20 , 26,29 ,25 , 33,33 ,28 , 37,... ,... , ...
Singapore,54 ,46 , 62,58 ,49 , 67,57 ,48 , 66,56 ,47 , 66,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,28 ,23 , 32
South Africa,49 ,45 , 53,54 ,50 , 58,60 ,56 , 64,64 ,59 , 68,69 ,64 , 74
South Sudan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,17 ,13 , 21
Spain,... ,... , ...,76 ,60 , 91,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,28 ,24 , 33,34 ,29 , 39,39 ,35 , 46,... ,... , ...
Sudan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Suriname,44 ,37 , 53,45 ,37 , 54,50 ,41 , 60,52 ,43 , 63,54 ,43 , 64
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,... ,... , ...,... ,... , ...,48 ,41 , 60,56 ,49 , 71,65 ,56 , 84
Thailand,57 ,50 , 67,63 ,55 , 73,68 ,59 , 79,74 ,64 , 85,78 ,68 , 89
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Trinidad and Tobago,... ,... , ...,... ,... , ...,53 ,45 , 60,60 ,51 , 68,66 ,56 , 75
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,17 ,12 , 25,... ,... , ...
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,... ,... , ...,60 ,57 , 66,69 ,65 , 75,69 ,64 , 75,83 ,78 , 92
Ukraine,25 ,24 , 27,34 ,32 , 36,39 ,37 , 42,48 ,45 , 52,54 ,51 , 59
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,... ,... , ...,... ,... , ...,... ,... , ...,68 ,62 , 73,78 ,71 , 84
United States,53 ,43 , 61,54 ,44 , 63,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,12 ,10 , 15,... ,... , ...,... ,... , ...
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,74 ,65 , 83
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Zambia,... ,... , ...,65 ,61 , 70,... ,... , ...,63 ,60 , 68,82 ,77 , 88
Zimbabwe,... ,... , ...,66 ,57 , 75,... ,... , ...,... ,... , ...,79 ,69 , 89
Global,47 ,40,54,52 ,44,60,57 ,48,65,60 ,51,69,65 ,56,76
