Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,79 ,70 , 89,80 ,71 , 90,83 ,74 , 94,87 ,78 , >95,95 ,84 , >95,>95 ,91 , >95,>95 ,91 , >95,>95 ,90 , >95,>95 ,89 , >95,>95 ,89 , >95
Gabon,11 ,8 , 15,12 ,9 , 16,15 ,11 , 20,23 ,17 , 30,35 ,26 , 46,45 ,33 , 60,49 ,34 , 65,54 ,36 , 74,64 ,40 , 87,23 ,14 , 31
Gambia,9 ,7 , 12,13 ,10 , 17,15 ,12 , 20,15 ,12 , 20,19 ,15 , 25,22 ,17 , 29,27 ,21 , 35,24 ,18 , 31,27 ,20 , 35,28 ,21 , 37
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,7 ,6 , 8,9 ,7 , 10,11 ,9 , 13,12 ,9 , 15,15 ,11 , 18,12 ,9 , 15,15 ,10 , 19,18 ,12 , 24,22 ,14 , 30,26 ,16 , 37
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,36 ,28 , 45,52 ,41 , 65,58 ,46 , 74,55 ,43 , 71,60 ,48 , 78,54 ,43 , 70,50 ,39 , 66,51 ,41 , 68,57 ,45 , 75,58 ,46 , 77
Guinea,7 ,6 , 8,7 ,6 , 9,9 ,7 , 11,16 ,13 , 20,14 ,11 , 17,26 ,21 , 33,14 ,11 , 18,18 ,14 , 22,22 ,17 , 27,55 ,44 , 67
Guinea-Bissau,5 ,4 , 6,7 ,6 , 8,10 ,9 , 11,11 ,10 , 13,11 ,9 , 12,13 ,11 , 15,17 ,15 , 20,20 ,17 , 24,11 ,9 , 12,16 ,13 , 19
Guyana,59 ,50 , 68,61 ,52 , 69,56 ,49 , 64,50 ,44 , 57,46 ,40 , 52,43 ,37 , 48,43 ,38 , 48,35 ,31 , 40,30 ,26 , 34,34 ,30 , 39
Haiti,13 ,10 , 15,16 ,13 , 19,20 ,16 , 23,25 ,20 , 29,28 ,22 , 33,29 ,23 , 35,36 ,28 , 44,41 ,31 , 50,39 ,30 , 48,45 ,34 , 56
Honduras,70 ,58 , 81,67 ,55 , 77,76 ,62 , 87,74 ,61 , 85,77 ,62 , 88,67 ,55 , 78,67 ,55 , 79,72 ,59 , 86,53 ,44 , 63,53 ,44 , 63
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),7 ,5 , 11,11 ,8 , 16,15 ,10 , 20,18 ,13 , 25,26 ,17 , 36,34 ,22 , 50,42 ,27 , 67,51 ,32 , 89,58 ,36 , >95,64 ,38 , >95
Ireland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,85 ,52 , >95,86 ,51 , >95,87 ,49 , >95,88 ,47 , >95,89 ,45 , >95,89 ,44 , >95,88 ,42 , >95,87 ,40 , >95,83 ,37 , >95,83 ,38 , >95
Jamaica,51 ,42 , 72,55 ,45 , 78,43 ,35 , 61,44 ,36 , 62,44 ,36 , 62,43 ,34 , 62,41 ,33 , 61,38 ,29 , 55,39 ,30 , 57,41 ,31 , 61
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Kenya,18 ,14 , 22,26 ,20 , 32,31 ,24 , 39,36 ,27 , 45,42 ,32 , 52,49 ,37 , 61,57 ,44 , 72,67 ,52 , 85,62 ,48 , 78,63 ,48 , 79
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,84 ,81 , 87,77 ,75 , 79,73 ,72 , 75,>95 ,92 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,94 , >95
Lao People's Democratic Republic,32 ,28 , 36,33 ,29 , 37,38 ,34 , 43,42 ,37 , 47,45 ,40 , 50,45 ,39 , 50,46 ,41 , 52,54 ,47 , 60,54 ,47 , 61,57 ,50 , 64
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lesotho,23 ,20 , 26,25 ,22 , 28,27 ,23 , 30,28 ,24 , 31,33 ,27 , 37,47 ,39 , 53,62 ,50 , 70,62 ,49 , 70,66 ,51 , 76,71 ,54 , 82
Liberia,5 ,4 , 6,10 ,8 , 12,8 ,6 , 9,7 ,5 , 9,8 ,6 , 10,8 ,6 , 10,10 ,7 , 13,14 ,10 , 18,17 ,13 , 23,21 ,15 , 28
Libya,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,32 ,23 , 44,31 ,22 , 41,31 ,23 , 41,31 ,23 , 42,32 ,24 , 44,32 ,24 , 43,42 ,30 , 55
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,4 ,3 , 5,2 ,2 , 3,2 ,2 , 3,2 ,2 , 3,3 ,3 , 4,2 ,1 , 2,3 ,3 , 4,4 ,3 , 5,6 ,5 , 7,9 ,7 , 11
Malawi,13 ,11 , 15,18 ,14 , 20,23 ,19 , 26,29 ,23 , 33,34 ,26 , 39,39 ,31 , 46,49 ,37 , 57,59 ,45 , 69,63 ,49 , 76,74 ,57 , 90
Malaysia,85 ,71 , >95,86 ,72 , >95,85 ,71 , >95,86 ,72 , >95,84 ,70 , >95,84 ,71 , >95,86 ,72 , >95,87 ,73 , >95,89 ,75 , >95,92 ,77 , >95
Mali,8 ,7 , 10,10 ,9 , 12,12 ,10 , 14,12 ,10 , 14,14 ,12 , 17,16 ,13 , 19,17 ,14 , 21,18 ,15 , 22,21 ,17 , 26,23 ,18 , 29
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,4 ,3 , 5,<1 ,<1 , <1,<1 ,<1 , <1,16 ,14 , 20,23 ,19 , 28,30 ,25 , 38,32 ,26 , 41,34 ,26 , 44,38 ,29 , 51,39 ,29 , 54
Mauritius,8 ,6 , 10,10 ,8 , 12,10 ,8 , 12,12 ,10 , 14,23 ,19 , 26,26 ,22 , 30,42 ,36 , 47,52 ,46 , 59,55 ,48 , 61,68 ,60 , 76
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Montenegro,,,,,,,,,,,,,,,,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Morocco,37 ,29 , 48,46 ,37 , 59,54 ,43 , 70,71 ,58 , 95,94 ,76 , >95,>95 ,78 , >95,>95 ,85 , >95,>95 ,91 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Mozambique,11 ,8 , 15,14 ,11 , 20,16 ,12 , 22,24 ,18 , 32,35 ,26 , 48,37 ,28 , 51,43 ,32 , 60,51 ,38 , 70,57 ,43 , 78,63 ,47 , 87
Myanmar,21 ,18 , 25,29 ,25 , 34,38 ,33 , 45,45 ,39 , 53,51 ,44 , 59,62 ,53 , 71,65 ,56 , 75,68 ,59 , 79,71 ,61 , 82,73 ,63 , 84
Namibia,48 ,41 , 53,55 ,47 , 60,61 ,52 , 66,56 ,48 , 62,57 ,48 , 63,60 ,50 , 67,60 ,49 , 67,62 ,51 , 70,66 ,54 , 75,>95 ,80 , >95
Nepal,17 ,15 , 20,25 ,22 , 30,33 ,29 , 39,39 ,34 , 46,50 ,44 , 59,60 ,53 , 71,70 ,61 , 83,>95 ,86 , >95,>95 ,90 , >95,>95 ,>95 , >95
Netherlands,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,24 ,19 , 32,35 ,27 , 45,40 ,31 , 52,22 ,17 , 29,43 ,34 , 57,48 ,37 , 64,52 ,40 , 70,52 ,39 , 72,56 ,42 , 79,69 ,50 , >95
