Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Cuba,<500 ,<200 , <1000,<1000 ,<200 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2000,1100 ,<500 , 2300,1100 ,<1000 , 2400,1200 ,<1000 , 2600
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,15 000 ,13 000 , 18 000,14 000 ,12 000 , 17 000,15 000 ,12 000 , 17 000,14 000 ,11 000 , 16 000,13 000 ,11 000 , 15 000,14 000 ,11 000 , 16 000,14 000 ,11 000 , 17 000,14 000 ,12 000 , 17 000,15 000 ,12 000 , 18 000,15 000 ,13 000 , 19 000
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,8200 ,6800 , 9700,8900 ,7300 , 11 000,8900 ,7200 , 11 000,11 000 ,8800 , 14 000,12 000 ,9300 , 15 000,13 000 ,9900 , 16 000,14 000 ,11 000 , 18 000,16 000 ,12 000 , 21 000,20 000 ,15 000 , 26 000,21 000 ,15 000 , 28 000
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Dominican Republic,2800 ,2000 , 3900,2800 ,2100 , 4000,2800 ,2000 , 4000,2700 ,2000 , 3900,2700 ,2000 , 3800,2800 ,2000 , 4000,2700 ,1900 , 3900,2700 ,1900 , 3800,2700 ,1900 , 3800,2700 ,1900 , 3800
Ecuador,1200 ,<1000 , 2500,1300 ,<1000 , 2900,1500 ,<1000 , 3300,1400 ,<1000 , 3100,1200 ,<1000 , 2700,1400 ,<1000 , 3000,1700 ,<1000 , 3900,1900 ,<1000 , 4900,2000 ,<1000 , 5400,2100 ,1100 , 5900
Egypt,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000
El Salvador,1100 ,<1000 , 1300,1100 ,<1000 , 1400,1100 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Equatorial Guinea,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,1300 ,<1000 , 1800,1500 ,1000 , 2000,1500 ,1000 , 2100,1500 ,1100 , 2200,1900 ,1300 , 2800,2000 ,1300 , 3100
Eritrea,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,6200 ,5600 , 7000,6800 ,6100 , 7700,7300 ,6500 , 8400,7500 ,6700 , 8500,7500 ,6700 , 8400,7700 ,6800 , 8700,7900 ,6800 , 9100,7900 ,6700 , 9200,8100 ,6800 , 9500,8300 ,6900 , 9800
Ethiopia,31 000,,,32 000,,,31 000,,,30 000,,,29 000,,,27 000,,,26 000,,,25 000,,,24 000,,,22 000,,
Fiji,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,5900 ,4400 , 8100,5900 ,4300 , 8200,6000 ,4300 , 8100,6100 ,4400 , 9400,6200 ,4700 , 13 000,6100 ,4500 , 21 000,6100 ,4200 , 21 000,6000 ,4100 , 21 000,6000 ,4000 , 20 000,6000 ,3900 , 19 000
Gabon,1400 ,<1000 , 2000,1400 ,1000 , 2000,1500 ,1100 , 2100,1800 ,1200 , 2500,1900 ,1400 , 2700,2000 ,1300 , 2900,2000 ,1400 , 2900,2000 ,1400 , 2800,1900 ,1300 , 2700,1800 ,1200 , 2600
Gambia,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Georgia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,7000 ,5400 , 8300,8100 ,6200 , 9900,9900 ,7500 , 12 000,10 000 ,7300 , 13 000,9500 ,6800 , 12 000,9200 ,6500 , 12 000,8900 ,6200 , 12 000,8200 ,5600 , 11 000,7800 ,5100 , 11 000,8300 ,5300 , 12 000
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,1600 ,1100 , 2500,1600 ,1000 , 2600,1600 ,<1000 , 2600,1600 ,<1000 , 2500,1500 ,<1000 , 2400,1300 ,<1000 , 2000,<1000 ,<1000 , 1500,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1400
Guinea,3200 ,2400 , 4100,3500 ,2700 , 4700,3700 ,2800 , 5000,4000 ,2900 , 5600,3900 ,2700 , 5400,3800 ,2600 , 5100,3600 ,2500 , 4800,3600 ,2500 , 4700,3600 ,2700 , 4800,4100 ,3100 , 5600
