Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Mauritania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,66 ,50 , 93
Mauritius,... ,... , ...,47 ,42 , 54,51 ,45 , 59,56 ,48 , 65,59 ,52 , 71
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,38 ,33 , 42,37 ,33 , 41,37 ,33 , 41,38 ,35 , 43,39 ,35 , 43
Montenegro,60 ,20 , >95,59 ,19 , >95,57 ,18 , >95,63 ,20 , >95,64 ,20 , >95
Morocco,71 ,58 , 95,76 ,62 , >95,82 ,66 , >95,88 ,72 , >95,87 ,71 , >95
Mozambique,70 ,57 , 86,76 ,61 , 92,79 ,64 , >95,83 ,67 , >95,86 ,69 , >95
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Namibia,93 ,87 , >95,94 ,88 , >95,>95 ,89 , >95,>95 ,90 , >95,>95 ,90 , >95
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,79 ,70 , 89
Netherlands,95 ,87 , >95,95 ,86 , >95,95 ,86 , >95,>95 ,87 , >95,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,62 ,51 , 77,71 ,58 , 89,77 ,62 , >95,84 ,67 , >95,91 ,73 , >95
Niger,60 ,53 , 68,64 ,58 , 73,68 ,61 , 78,72 ,65 , 82,76 ,68 , 87
Nigeria,72 ,54 , >95,76 ,57 , >95,80 ,60 , >95,82 ,61 , >95,86 ,65 , >95
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,78 ,60 , 95,71 ,55 , 85,70 ,55 , 84,67 ,52 , 81,69 ,53 , 85
Pakistan,9 ,7 , 10,10 ,9 , 11,11 ,10 , 13,10 ,9 , 11,12 ,11 , 14
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,69 , 84
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Peru,... ,... , ...,... ,... , ...,70 ,61 , 82,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,71 ,60 , 84,71 ,60 , 83,72 ,61 , 85,73 ,61 , 85
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,67 ,57 , 81,71 ,60 , 85,74 ,63 , 90,78 ,66 , 94,79 ,67 , 95
Romania,76 ,67 , 87,79 ,69 , 90,82 ,71 , 94,85 ,74 , >95,84 ,73 , >95
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,85 ,76 , 92,88 ,79 , >95,91 ,81 , >95,92 ,83 , >95,93 ,84 , >95
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,69 ,61 , 79,71 ,63 , 82,75 ,66 , 86,83 ,73 , >95,89 ,78 , >95
Serbia,84 ,71 , >95,84 ,71 , >95,84 ,70 , >95,85 ,70 , >95,90 ,72 , >95
Sierra Leone,51 ,44 , 58,55 ,47 , 62,59 ,50 , 66,61 ,51 , 69,64 ,54 , 72
Singapore,68 ,58 , 77,70 ,59 , 81,73 ,61 , 84,75 ,62 , 88,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
South Africa,89 ,82 , 95,91 ,84 , >95,92 ,85 , >95,93 ,87 , >95,94 ,87 , >95
South Sudan,20 ,15 , 25,24 ,19 , 31,29 ,23 , 37,33 ,25 , 41,36 ,28 , 45
Spain,... ,... , ...,85 ,67 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,26 ,22 , 30,34 ,29 , 39,39 ,34 , 45,45 ,40 , 52,50 ,44 , 58
Sudan,23 ,20 , 27,28 ,23 , 32,32 ,27 , 38,36 ,31 , 43,39 ,32 , 46
Suriname,75 ,62 , 89,75 ,61 , 90,75 ,61 , 89,72 ,59 , 86,70 ,57 , 84
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,72 ,63 , 92,78 ,68 , >95,84 ,73 , >95,92 ,80 , >95,>95 ,83 , >95
Thailand,80 ,70 , 93,84 ,72 , >95,89 ,76 , >95,93 ,81 , >95,... ,... , ...
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,71 ,60 , 84,74 ,63 , 89,77 ,66 , 93,79 ,68 , 95,82 ,70 , >95
