Country,2013,2014,2015,2016,2017,2018
Kyrgyzstan,57.0,17.1,24.6,7.7,23.7,21.6
Lao People's Democratic Republic,,9.5,20.5,13.1,12.0,15.6
Lebanon,4.9,4.7,1.9,<0.1,1.0,1.0
Liberia,,,14.8,26.9,,6.9
Lithuania,6.8,,16.0,3.9,,
Madagascar,,8.2,,20.6,19.7,
Malawi,1.6,1.5,10.1,1.7,0.8,0.6
Malaysia,9.4,9.5,9.0,5.7,4.7,19.3
Maldives,<0.1,,<0.1,,<0.1,50.0
Mali,5.6,,7.2,6.3,4.8,5.6
Malta,,,6.6,4.8,,
Mauritania,4.6,3.6,2.6,3.7,,4.6
Mauritius,,,0.8,0.3,<0.1,7.3
Mexico,,4.2,3.0,5.3,5.8,3.6
Micronesia (Federated States of),,,,<0.1,,
Mongolia,3.9,13.0,5.6,12.0,12.0,5.6
Montenegro,,<0.1,5.6,4.0,<0.1,<0.1
Morocco,35.7,34.0,20.7,13.8,,
Mozambique,,,5.6,,,
Myanmar,29.2,8.5,13.0,11.4,12.4,10.4
Namibia,,,,,17.9,
Nauru,,<0.1,,,,
Nepal,46.8,,2.1,27.3,14.2,12.8
Nicaragua,4.9,7.7,4.0,4.5,4.2,4.7
Niger,,1.0,16.1,8.0,8.7,
Nigeria,,,,6.8,8.4,7.1
Oman,,3.5,2.1,1.7,1.3,3.0
Panama,,,,,7.6,10.5
Papua New Guinea,,,,9.3,12.7,15.5
Paraguay,12.1,11.6,6.1,10.1,8.2,5.8
Peru,,37.0,,15.4,15.0,15.5
Philippines,,,23.6,27.6,26.1,22.4
Qatar,,,,,3.9,2.6
Republic of Moldova,14.8,13.6,11.5,13.5,14.9,14.4
Romania,14.8,13.5,,,,
Russian Federation,,38.0,,,,
Saint Kitts and Nevis,,,,,<0.1,<0.1
Saint Lucia,,<0.1,7.1,3.0,<0.1,4.2
Saint Vincent and the Grenadines,<0.1,37.5,,,,<0.1
Samoa,,,,,<0.1,<0.1
Sao Tome and Principe,,17.8,77.0,21.0,13.0,8.7
Saudi Arabia,,,5.8,5.7,3.8,1.5
Senegal,,4.5,7.1,3.4,6.4,5.4
Serbia,,1.7,1.2,1.8,3.9,3.9
Seychelles,2.1,<0.1,<0.1,1.3,<0.1,1.0
Sierra Leone,,8.8,11.2,9.1,2.4,7.2
Singapore,,,5.2,,2.7,3.4
Slovakia,<0.1,<0.1,,,,
Solomon Islands,,33.3,,,,
Somalia,,,38.0,27.6,24.9,
South Africa,,10.4,11.7,,,
South Sudan,,6.6,,3.4,,1.6
Sri Lanka,12.3,3.5,2.4,5.8,10.6,15.2
Sudan,,17.8,22.9,17.5,10.9,7.1
Suriname,,,,,1.0,2.2
Syrian Arab Republic,,,,,,1.7
Tajikistan,4.6,8.0,8.4,4.5,5.2,9.8
Thailand,10.9,,,14.0,13.0,22.4
The former Yugoslav Republic of Macedonia,,,,,<0.1,6.7
Timor-Leste,,39.3,,,,
Togo,,,,62.0,4.9,4.6
Trinidad and Tobago,,,6.0,,2.9,
Tunisia,19.4,8.5,7.1,9.9,10.9,11.1
Turkey,1.5,,,,,
Uganda,,0.2,,7.5,,
Ukraine,,,,,,22.8
United Arab Emirates,,0.5,,4.1,6.8,1.5
United Republic of Tanzania,,11.5,,,,
Uzbekistan,22.7,13.6,18.6,14.6,8.8,
Vanuatu,<0.1,,,,,
Yemen,7.3,,,,,
Zambia,,,66.0,,10.2,
Zimbabwe,,14.9,,5.4,0.5,
