States,2019,2019_lower, 2019_upper
Malinyi DC,5.3 ,4.5 , 6.2
Manyoni DC,2.1 ,0.7 , 5.9
Masasi DC,0.6 ,0.5 , 0.8
Masasi TC,4.7 ,1.8 , 10.8
Maswa DC,1.3 ,0.5 , 3.2
Mbarali DC,1.7 ,0.5 , 4.6
Mbeya CC,2.2 ,1.3 , 3.5
Mbeya DC,0.9 ,0.3 , 1.9
Mbinga DC,1.4 ,0.9 , 2.1
Mbinga TC,2.0 ,1.1 , 3.9
Mbogwe DC,7.0 ,6.0 , 8.1
Mbozi DC,0.8 ,0.6 , 1.3
Mbulu DC,0.4 ,0.2 , 1.0
Mbulu TC,1.1 ,0.3 , 2.9
Meatu DC,0.9 ,0.3 , 2.0
Meru DC,5.1 ,3.6 , 8.1
Micheweni,2.6 ,2.1 , 3.4
Missenyi DC,0.7 ,0.3 , 1.3
Misungwi DC,0.5 ,0.2 , 1.2
Mjini,1.4 ,0.8 , 2.3
Mkalama DC,0.4 ,<0.1 , 1.4
Mkinga DC,1.6 ,0.8 , 3.0
Mkoani,0.7 ,0.4 , 1.5
Mkuranga DC,0.3 ,0.1 , 0.8
Mlele DC,5.8 ,4.1 , 8.1
Momba DC,4.6 ,3.6 , 5.8
Monduli DC,1.0 ,0.5 , 1.8
Morogoro DC,1.5 ,0.5 , 4.2
Morogoro MC,0.8 ,0.2 , 2.4
Moshi DC,1.2 ,0.8 , 1.7
Moshi MC,0.9 ,0.2 , 2.7
Mpanda DC,0.7 ,0.6 , 1.0
Mpanda TC,2.7 ,2.3 , 3.0
Mpimbwe DC,0.6 ,0.3 , 1.3
Mpwapwa DC,1.1 ,0.5 , 2.9
Msalala DC,2.3 ,1.4 , 3.7
Mtwara DC,3.1 ,2.2 , 4.3
Mtwara Mikindani MC,4.1 ,2.7 , 5.8
Mufindi DC,2.1 ,1.4 , 3.1
Muheza DC,0.5 ,0.3 , 0.8
Muleba DC,0.6 ,0.3 , 1.2
Musoma DC,<0.1 ,<0.1 , <0.1
Musoma MC,2.0 ,1.2 , 3.3
Mvomero DC,0.9 ,0.3 , 2.1
Mwanga DC,3.0 ,2.1 , 4.2
Nachingwea DC,0.7 ,0.2 , 2.2
Namtumbo DC,1.3 ,1.0 , 1.8
Nanyamba TC,6.4 ,5.0 , 7.9
Nanyumbu DC,1.6 ,0.7 , 4.1
Newala DC,2.4 ,1.4 , 4.9
Newala TC,2.6 ,0.8 , 6.1
Ngara DC,0.3 ,<0.1 , 1.1
Ngorongoro DC,3.3 ,2.0 , 5.2
Njombe DC,1.7 ,0.5 , 5.5
Njombe TC,1.0 ,0.4 , 2.5
Nkasi DC,1.5 ,0.9 , 2.4
Nsimbo DC,0.2 ,0.1 , 0.5
Nyamagana MC,0.5 ,0.2 , 1.2
Nyang'hwale DC,1.7 ,1.3 , 2.2
Nyasa DC,2.2 ,1.5 , 3.1
Nzega DC,0.9 ,0.6 , 1.5
Nzega TC,4.5 ,2.2 , 7.8
Pangani DC,10.3 ,7.1 , 14.0
Rombo DC,0.6 ,0.5 , 0.9
Rorya DC,0.9 ,0.3 , 2.3
Ruangwa DC,2.4 ,1.2 , 4.0
Rufiji DC,7.3 ,2.9 , 17.7
Rungwe DC,3.8 ,2.1 , 6.3
Same DC,1.1 ,0.5 , 2.0
Sengerema DC,0.4 ,0.2 , 1.1
Serengeti DC,0.7 ,0.4 , 1.3
Shinyanga DC,<0.1 ,<0.1 , <0.1
Shinyanga MC,1.6 ,0.9 , 2.7
Siha DC,3.1 ,1.0 , 7.3
Sikonge DC,0.8 ,0.4 , 2.0
Simanjiro DC,1.3 ,1.0 , 1.6
Singida DC,1.3 ,0.7 , 2.3
Singida MC,3.1 ,2.0 , 4.7
Songea DC,3.2 ,2.5 , 3.9
Songea MC,2.7 ,2.1 , 3.5
Songwe DC,1.6 ,0.7 , 4.1
Sumbawanga DC,1.0 ,0.7 , 1.4
Sumbawanga MC,0.8 ,0.3 , 2.1
Tabora MC,1.3 ,0.7 , 2.5
Tandahimba DC,1.3 ,0.6 , 3.3
Tanga CC,1.8 ,1.1 , 2.9
Tarime DC,0.2 ,<0.1 , 0.6
Tarime TC,0.8 ,0.4 , 1.4
Temeke MC,0.6 ,0.2 , 1.5
Tunduma TC,0.7 ,0.2 , 2.1
Tunduru DC,1.0 ,0.5 , 1.9
Ubungo MC,0.6 ,0.3 , 1.3
Ukerewe DC,0.7 ,0.2 , 1.9
Ulanga DC,2.3 ,1.1 , 4.5
Urambo DC,0.7 ,0.2 , 1.9
Ushetu DC,2.1 ,1.3 , 3.3
