States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Kwara,38.50 338 ,35.28 203 , 41.9 266,38.35 535 ,35.37 951 , 42.12 409,19.25 906 ,15.87 453 , 25.35 093,18.64 559 ,15.20 997 , 25.46 766,17.22 887 ,13.88 448 , 23.45 772,15.48 811 ,10.36 854 , 22.4 952,19.09 239 ,9.86 636 , 25.20 869,23.51 482 ,15.54 551 , 29.05 492,23.72 862 ,15.90 486 , 29.61 665,21.32 846 ,13.57 316 , 28.36 372
Lagos,31.41 373 ,27.98 695 , 34.46 878,29.22 514 ,25.97 728 , 32.0 866,27.59 533 ,23.2 118 , 31.01 174,20.1 482 ,16.15 568 , 24.11 672,21.50 783 ,17.53 141 , 25.25 709,22.91 233 ,19.13 326 , 26.4 118,25.60 642 ,21.98 119 , 28.68 365,23.44 467 ,19.28 673 , 27.07 304,23.72 709 ,17.83 535 , 27.32 434,24.51 052 ,17.92 465 , 28.68 229
Nassarawa,35.00 942 ,32.62 957 , 36.97 682,34.08 019 ,31.78 842 , 36.30 692,33.28 799 ,31.05 786 , 35.41 726,18.16 714 ,16.33 079 , 20.8 661,14.58 259 ,12.97 764 , 16.56 849,19.72 609 ,15.19 066 , 23.7 412,11.88 516 ,10.127 , 14.19 964,14.01 145 ,9.87 142 , 16.9 395,9.36 132 ,7.04 701 , 12.84 973,15.47 367 ,11.85 081 , 18.18 629
Niger,33.3 186 ,31.27 267 , 35.51 305,33.20 267 ,31.23 318 , 35.45 422,26.14 158 ,20.94 441 , 29.67 101,20.42 508 ,16.27 652 , 26.66 238,13.35 238 ,6.74 722 , 17.61 841,14.91 803 ,9.17 471 , 18.64 551,17.58 038 ,13.3 803 , 21.58 995,19.31 883 ,16.40 071 , 23.59 167,18.35 113 ,14.70 833 , 23.22 118,18.88 728 ,15.60 249 , 24.1 613
Ogun,30.96 215 ,27.58 315 , 34.39 457,29.6 326 ,25.80 196 , 33.05 865,28.9 349 ,25.25 093 , 32.3 995,20.60 218 ,14.72 458 , 25.38 472,20.8 969 ,15.36 205 , 25.5 744,19.63 158 ,13.63 733 , 24.355,24.43 193 ,19.2 133 , 28.62 129,23.08 196 ,16.9 874 , 27.52 319,22.69 438 ,15.83 528 , 27.20 485,25.13 622 ,18.08 237 , 29.452
Ondo,29.59 185 ,25.12 193 , 32.85 832,27.14 647 ,21.54 105 , 30.97 803,27.89 455 ,22.91 706 , 31.28 026,24.30 277 ,17.55 258 , 28.57 874,17.32 661 ,12.45 096 , 22.86 685,18.80 058 ,9.76 201 , 23.9 467,21.71 884 ,14.5 013 , 26.4 663,24.43 195 ,18.9 921 , 28.38 421,25.0 029 ,19.07 164 , 29.03 803,20.85 661 ,13.54 645 , 26.07 863
Osun,33.24 974 ,30.20 989 , 36.11 063,31.26 778 ,28.0 701 , 34.71 895,28.07 528 ,23.73 291 , 32.06 968,22.28 318 ,15.43 808 , 27.83 015,25.44 303 ,20.04 223 , 29.75 274,26.43 288 ,21.90 304 , 30.63 905,25.73 555 ,20.69 558 , 30.11 835,29.54 164 ,26.36 147 , 33.04 091,28.16 847 ,24.24 679 , 31.96 987,29.23 165 ,25.60 893 , 32.85 568
Oyo,26.54 186 ,21.45 826 , 30.84 457,26.81 855 ,21.81 889 , 31.07 348,23.27 366 ,16.74 227 , 28.32 534,21.45 332 ,14.43 854 , 26.45 441,19.06 875 ,11.62 787 , 24.43 364,17.51 312 ,9.44 208 , 23.15 213,20.77 932 ,14.0 208 , 26.08 271,15.88 637 ,11.77 817 , 22.22 628,18.92 906 ,11.75 728 , 24.75 888,20.92 173 ,13.43 592 , 26.49 285
Plateau,31.97 337 ,28.59 051 , 34.9 463,32.7 244 ,29.7 624 , 35.62 952,25.67 256 ,23.2 679 , 28.53 224,17.41 066 ,14.88 649 , 20.46 453,12.42 564 ,11.07 172 , 14.25 132,16.20 602 ,12.54 124 , 20.3 607,18.93 085 ,16.17 272 , 21.92 442,18.13 121 ,14.87 011 , 21.32 414,18.02 784 ,14.55 381 , 21.12 874,18.63 609 ,15.25 232 , 21.5 845
Rivers,37.13 534 ,33.95 452 , 40.49 225,36.32 811 ,33.52 061 , 39.83 888,36.27 205 ,33.45 155 , 39.79 315,33.3 002 ,30.81 372 , 36.19 591,32.25 788 ,29.74 254 , 34.95 282,33.14 401 ,30.5 231 , 35.92 969,32.59 742 ,30.12 543 , 35.19 644,32.79 012 ,30.36 476 , 35.54 446,32.56 258 ,29.90 045 , 35.24 992,32.86 961 ,30.43 215 , 35.71 353
Sokoto,21.35 309 ,16.96 697 , 29.65 185,18.46 494 ,14.61 686 , 26.03 334,20.06 884 ,15.78 595 , 31.64 185,21.08 505 ,15.16 682 , 30.98 621,19.58 297 ,15.28 759 , 29.73 853,22.97 203 ,19.75 334 , 27.3 462,22.08 555 ,15.70 006 , 29.82 112,21.24 025 ,13.42 484 , 32.12 358,22.01 656 ,13.11 687 , 34.39 503,23.17 996 ,14.14 425 , 34.60 859
Taraba,27.30 683 ,24.58 947 , 29.84 314,26.36 278 ,23.39 581 , 29.00 057,23.94 562 ,19.79 913 , 26.9 169,19.53 235 ,16.98 366 , 23.49 467,16.34 593 ,13.73 732 , 19.29 092,17.40 062 ,15.08 479 , 20.5 758,16.35 343 ,13.92 213 , 19.54 971,15.88 895 ,13.29 388 , 18.45 133,21.34 149 ,19.57 502 , 23.26 923,17.94 766 ,15.67 175 , 19.71 108
Yobe,32.68 448 ,25.32 392 , 35.85 286,32.23 354 ,24.19 532 , 35.52 604,31.23 016 ,22.97 669 , 35.0 144,19.47 551 ,13.51 732 , 29.20 568,28.87 043 ,20.45 019 , 33.33 581,28.50 919 ,18.78 015 , 32.90 684,21.0 743 ,8.52 411 , 30.56 138,13.24 894 ,8.82 581 , 27.23 184,13.14 572 ,8.91 845 , 27.47 677,13.48 762 ,8.76 976 , 28.17 714
Zamfara,27.529 ,21.5 604 , 33.0 607,23.84 034 ,17.07 661 , 33.13 991,25.86 537 ,17.46 367 , 32.76 286,29.50 323 ,22.32 384 , 34.1 689,28.76 012 ,21.28 935 , 33.22 919,28.23 676 ,19.10 887 , 33.19 911,28.08 228 ,18.47 082 , 33.17 209,29.22 731 ,20.12 682 , 33.81 746,29.61 532 ,20.89 174 , 34.09 137,30.72 889 ,22.94 553 , 34.70 401
National,30.533 351 ,24.16 808,36.71 703,28.956 076 ,22.91 859,34.81 877,26.709 178 ,21.13 918,32.11 542,22.497 824 ,17.80 201,27.04 547,19.842 232 ,15.70 464,23.85 906,20.041 061 ,15.86 115,24.09 683,19.436 425 ,15.38 381,23.37 165,20.817 455 ,16.47 375,25.02 753,22.091 466 ,17.4 853,26.56 431,22.164 672 ,17.54 075,26.64 856
