States,2019,2019_lower, 2019_upper
Rubanda,1.8 ,1.1 , 2.7
Rubirizi,7.1 ,4.9 , 9.9
Rukiga,4.1 ,2.9 , 5.7
Rukungiri,5.1 ,3.7 , 6.8
Rwampara,3.7 ,2.7 , 4.6
Serere,2.2 ,1.7 , 3.0
Sheema,6.4 ,4.1 , 9.1
Sironko,1.8 ,1.3 , 2.3
Soroti,3.9 ,3.1 , 5.0
Ssembabule,3.8 ,2.6 , 5.6
Tororo,4.7 ,3.9 , 5.6
Wakiso,6.8 ,6.0 , 7.5
Yumbe,0.9 ,0.6 , 1.2
Zombo,3.1 ,2.2 , 4.3
National,4.3 ,3.7,4.7
