States,2019,2019_lower, 2019_upper
Kibaha TC,2.6 ,1.7 , 3.8
Kibiti DC,2.2 ,1.4 , 3.2
Kibondo DC,0.8 ,0.2 , 2.3
Kigamboni MC,5.3 ,3.7 , 7.4
Kigoma DC,0.6 ,0.1 , 1.9
Kigoma Ujiji MC,2.1 ,1.4 , 3.2
Kilindi DC,4.1 ,2.2 , 6.9
Kilolo DC,4.9 ,3.9 , 6.0
Kilombero DC,9.3 ,6.8 , 12.2
Kilosa DC,1.8 ,1.1 , 2.8
Kilwa DC,2.0 ,1.0 , 3.6
Kinondoni MC,2.3 ,1.7 , 3.0
Kisarawe DC,10.2 ,7.8 , 13.2
Kishapu DC,2.1 ,1.0 , 4.0
Kiteto DC,0.9 ,0.2 , 2.4
Kondoa DC,2.9 ,1.5 , 5.6
Kondoa TC,20.2 ,15.5 , 26.1
Kongwa DC,3.4 ,2.0 , 5.7
Korogwe DC,3.6 ,2.6 , 4.9
Korogwe TC,9.5 ,3.4 , 21.7
Kusini,9.5 ,7.7 , 11.5
Kwimba DC,17.1 ,10.8 , 25.3
Kyela DC,5.1 ,3.3 , 7.5
Kyerwa DC,5.2 ,2.8 , 8.8
Lindi DC,2.6 ,1.3 , 4.6
Lindi MC,2.7 ,1.6 , 4.5
Liwale DC,7.2 ,2.9 , 13.7
Longido DC,7.7 ,5.8 , 10.1
Ludewa DC,4.8 ,1.6 , 11.7
Lushoto DC,2.6 ,0.5 , 8.5
Madaba DC,3.0 ,1.5 , 5.7
Mafia DC,3.9 ,2.2 , 6.1
Mafinga TC,4.5 ,2.3 , 9.3
Magharibi A,0.9 ,0.6 , 1.3
Magharibi B,1.6 ,1.2 , 2.1
Magu DC,3.1 ,1.4 , 6.5
Makambako TC,20.9 ,17.6 , 24.8
Makete DC,1.7 ,0.8 , 3.4
Malinyi DC,9.8 ,7.9 , 12.0
Manyoni DC,4.2 ,1.3 , 11.8
Masasi DC,1.8 ,1.3 , 2.6
Masasi TC,10.5 ,3.6 , 23.0
Maswa DC,4.2 ,2.2 , 7.7
Mbarali DC,3.3 ,1.4 , 8.6
Mbeya CC,5.5 ,3.7 , 8.1
Mbeya DC,3.0 ,1.5 , 5.2
Mbinga DC,2.6 ,1.4 , 4.4
Mbinga TC,3.7 ,1.7 , 7.5
Mbogwe DC,10.4 ,8.1 , 13.1
Mbozi DC,1.5 ,1.0 , 2.3
Mbulu DC,0.8 ,0.2 , 2.1
Mbulu TC,1.9 ,0.5 , 4.7
Meatu DC,1.6 ,0.5 , 3.7
Meru DC,5.8 ,2.8 , 13.1
Micheweni,4.4 ,3.2 , 6.0
Missenyi DC,1.5 ,0.6 , 2.9
Misungwi DC,0.9 ,0.3 , 2.2
Mjini,3.2 ,1.9 , 4.8
Mkalama DC,1.2 ,0.3 , 3.5
Mkinga DC,3.3 ,1.5 , 6.5
Mkoani,1.1 ,0.3 , 2.8
Mkuranga DC,1.0 ,0.5 , 1.9
Mlele DC,10.1 ,6.6 , 14.9
Momba DC,6.9 ,4.9 , 9.5
Monduli DC,1.6 ,0.8 , 3.2
Morogoro DC,3.3 ,1.1 , 8.1
Morogoro MC,1.6 ,0.5 , 4.4
Moshi DC,2.3 ,1.7 , 3.2
Moshi MC,4.7 ,3.0 , 7.8
Mpanda DC,6.7 ,5.7 , 7.8
Mpanda TC,5.3 ,4.4 , 6.2
Mpimbwe DC,1.6 ,0.8 , 2.9
Mpwapwa DC,2.4 ,0.8 , 6.0
Msalala DC,4.3 ,2.5 , 7.0
Mtwara DC,3.2 ,2.4 , 4.2
Mtwara Mikindani MC,9.0 ,6.4 , 12.4
Mufindi DC,5.0 ,3.5 , 7.1
