States,2019,2019_lower, 2019_upper
Maswa DC,2.80 ,0.48 , 0.01
Mbarali DC,2.72 ,0.14 , 0.01
Mbeya CC,4.82 ,1.96 , <0.01
Mbeya DC,1.63 ,0.39 , <0.01
Mbinga DC,2.67 ,0.87 , <0.01
Mbinga TC,2.58 ,0.37 , <0.01
Mbogwe DC,10.54 ,6.82 , 0.02
Mbozi DC,0.88 ,0.34 , <0.01
Mbulu DC,0.57 ,0.04 , <0.01
Mbulu TC,1.84 ,0.26 , <0.01
Meatu DC,1.12 ,0.15 , <0.01
Meru DC,2.29 ,0.26 , <0.01
Micheweni,4.76 ,2.55 , <0.01
Missenyi DC,0.80 ,0.13 , <0.01
Misungwi DC,0.48 ,0.05 , <0.01
Mjini,3.02 ,0.96 , <0.01
Mkalama DC,0.64 ,0.03 , <0.01
Mkinga DC,3.34 ,0.85 , <0.01
Mkoani,0.97 ,0.07 , <0.01
Mkuranga DC,0.39 ,0.04 , <0.01
Mlele DC,6.69 ,2.56 , 0.01
Momba DC,8.30 ,4.15 , 0.01
Monduli DC,1.03 ,0.21 , <0.01
Morogoro DC,2.59 ,0.26 , 0.01
Morogoro MC,1.15 ,0.07 , <0.01
Moshi DC,1.36 ,0.63 , <0.01
Moshi MC,0.59 ,0.07 , <0.01
Mpanda DC,0.36 ,0.17 , <0.01
Mpanda TC,2.42 ,1.71 , <0.01
Mpimbwe DC,0.54 ,0.06 , <0.01
Mpwapwa DC,1.99 ,0.18 , <0.01
Msalala DC,2.92 ,0.74 , <0.01
Mtwara DC,0.75 ,0.43 , <0.01
Mtwara Mikindani MC,16.21 ,7.09 , 0.03
Mufindi DC,3.66 ,1.72 , <0.01
Muheza DC,0.10 ,0.03 , <0.01
Muleba DC,0.73 ,0.16 , <0.01
Musoma DC,0.02 ,<0.01 , <0.01
Musoma MC,3.79 ,1.52 , <0.01
Mvomero DC,2.27 ,0.33 , <0.01
Mwanga DC,0.29 ,0.12 , <0.01
Nachingwea DC,1.59 ,0.13 , <0.01
Namtumbo DC,0.05 ,0.01 , <0.01
Nanyamba TC,9.75 ,6.14 , 0.01
Nanyumbu DC,2.49 ,0.18 , 0.01
Newala DC,1.83 ,0.14 , <0.01
Newala TC,4.16 ,0.62 , 0.02
Ngara DC,0.48 ,0.03 , <0.01
Ngorongoro DC,11.92 ,5.22 , 0.03
Njombe DC,3.43 ,0.14 , 0.02
Njombe TC,0.98 ,0.07 , <0.01
Nkasi DC,4.84 ,1.75 , 0.01
Nsimbo DC,0.14 ,0.01 , <0.01
Nyamagana MC,0.32 ,0.04 , <0.01
Nyang'hwale DC,0.96 ,0.50 , <0.01
Nyasa DC,4.25 ,2.10 , <0.01
Nzega DC,1.37 ,0.49 , <0.01
Nzega TC,9.61 ,2.53 , 0.02
Pangani DC,1.25 ,0.41 , <0.01
Rombo DC,0.29 ,0.07 , <0.01
Rorya DC,1.38 ,0.17 , <0.01
Ruangwa DC,6.94 ,2.48 , 0.02
Rufiji DC,12.98 ,1.20 , 0.06
Rungwe DC,14.26 ,4.18 , 0.04
Same DC,1.89 ,0.60 , <0.01
Sengerema DC,0.59 ,0.08 , <0.01
Serengeti DC,0.47 ,0.05 , <0.01
Shinyanga DC,<0.01 ,<0.01 , <0.01
Shinyanga MC,2.85 ,0.89 , <0.01
Siha DC,5.32 ,0.69 , 0.02
Sikonge DC,1.42 ,0.09 , <0.01
Simanjiro DC,1.10 ,0.49 , <0.01
Singida DC,3.25 ,1.07 , <0.01
Singida MC,6.38 ,2.31 , 0.02
Songea DC,2.53 ,1.58 , <0.01
Songea MC,6.52 ,3.50 , 0.01
Songwe DC,2.59 ,0.20 , 0.01
Sumbawanga DC,1.60 ,0.76 , <0.01
Sumbawanga MC,1.78 ,0.19 , <0.01
Tabora MC,1.82 ,0.35 , <0.01
Tandahimba DC,1.93 ,0.14 , 0.01
Tanga CC,4.32 ,1.88 , <0.01
Tarime DC,0.32 ,0.01 , <0.01
Tarime TC,0.14 ,0.03 , <0.01
Temeke MC,0.63 ,0.08 , <0.01
Tunduma TC,1.19 ,0.09 , <0.01
Tunduru DC,1.92 ,0.49 , <0.01
Ubungo MC,0.42 ,0.15 , <0.01
Ukerewe DC,1.16 ,0.13 , <0.01
Ulanga DC,3.19 ,0.65 , <0.01
Urambo DC,0.87 ,0.04 , <0.01
Ushetu DC,5.29 ,1.99 , 0.01
Uvinza DC,0.73 ,0.04 , <0.01
Uyui DC,0.50 ,0.04 , <0.01
Wanging'ombe DC,7.02 ,3.19 , 0.01
Wete,1.70 ,0.68 , <0.01
National,3.07 ,2.71,3.47
