States,2019,2019_lower, 2019_upper
Karatu DC,2.8 ,0.9 , 6.5
Kaskazini A,3.9 ,1.9 , 8.1
Kaskazini B,1.6 ,1.3 , 1.9
Kasulu DC,2.3 ,1.2 , 3.6
Kasulu TC,3.8 ,1.7 , 7.4
Kati,1.4 ,0.4 , 3.3
Kibaha DC,8.6 ,5.8 , 12.3
Kibaha TC,4.4 ,2.8 , 6.7
Kibiti DC,5.6 ,3.6 , 8.2
Kibondo DC,1.5 ,0.3 , 4.1
Kigamboni MC,13.7 ,9.5 , 18.6
Kigoma DC,1.2 ,0.3 , 3.3
Kigoma Ujiji MC,4.1 ,2.3 , 6.9
Kilindi DC,7.5 ,4.3 , 12.2
Kilolo DC,14.4 ,12.4 , 16.3
Kilombero DC,17.7 ,14.4 , 21.4
Kilosa DC,4.9 ,2.6 , 8.0
Kilwa DC,3.8 ,2.1 , 6.5
Kinondoni MC,4.6 ,3.4 , 6.3
Kisarawe DC,17.3 ,14.3 , 20.7
Kishapu DC,4.2 ,2.2 , 7.5
Kiteto DC,1.5 ,0.4 , 4.1
Kondoa DC,5.9 ,3.2 , 10.3
Kondoa TC,32.0 ,26.1 , 38.7
Kongwa DC,6.3 ,3.8 , 9.9
Korogwe DC,8.4 ,5.9 , 11.2
Korogwe TC,15.2 ,5.4 , 32.5
Kusini,7.9 ,6.0 , 10.4
Kwimba DC,23.5 ,15.9 , 33.2
Kyela DC,9.6 ,6.2 , 13.9
Kyerwa DC,5.7 ,2.8 , 9.9
Lindi DC,4.3 ,2.0 , 7.7
Lindi MC,5.6 ,3.5 , 8.5
Liwale DC,12.8 ,5.1 , 24.4
Longido DC,14.7 ,11.3 , 18.9
Ludewa DC,8.4 ,3.2 , 17.6
Lushoto DC,4.6 ,1.0 , 13.7
Madaba DC,5.7 ,3.5 , 9.1
Mafia DC,11.5 ,7.0 , 17.1
Mafinga TC,9.8 ,6.1 , 16.0
Magharibi A,1.3 ,0.8 , 2.1
Magharibi B,2.5 ,1.8 , 3.5
Magu DC,6.1 ,3.1 , 10.7
Makambako TC,29.4 ,25.2 , 34.6
Makete DC,4.2 ,2.2 , 7.4
Malinyi DC,15.7 ,13.1 , 18.7
Manyoni DC,7.5 ,2.6 , 17.4
Masasi DC,4.9 ,3.1 , 7.4
Masasi TC,18.6 ,7.3 , 36.2
Maswa DC,8.8 ,5.5 , 13.4
Mbarali DC,6.0 ,3.2 , 11.2
Mbeya CC,10.0 ,7.2 , 13.5
Mbeya DC,6.6 ,3.8 , 10.9
Mbinga DC,4.4 ,2.4 , 7.1
Mbinga TC,7.0 ,3.5 , 13.0
Mbogwe DC,13.5 ,10.2 , 17.7
Mbozi DC,2.8 ,1.8 , 4.2
Mbulu DC,1.4 ,0.5 , 3.5
Mbulu TC,2.9 ,0.8 , 7.5
Meatu DC,2.9 ,0.9 , 6.6
Meru DC,8.2 ,3.1 , 18.7
Micheweni,6.0 ,4.4 , 8.2
Missenyi DC,3.2 ,1.5 , 5.8
Misungwi DC,1.5 ,0.5 , 3.6
Mjini,5.5 ,3.7 , 7.8
Mkalama DC,2.9 ,0.8 , 7.9
Mkinga DC,5.7 ,2.9 , 10.4
Mkoani,1.5 ,0.4 , 4.0
Mkuranga DC,2.5 ,1.4 , 4.0
Mlele DC,15.7 ,10.9 , 22.1
Momba DC,8.9 ,6.5 , 11.8
Monduli DC,2.8 ,1.6 , 4.8
Morogoro DC,6.3 ,2.3 , 14.2
Morogoro MC,3.4 ,1.1 , 7.9
Moshi DC,4.3 ,2.9 , 6.4
Moshi MC,12.5 ,9.0 , 17.1
Mpanda DC,17.5 ,16.5 , 18.7
Mpanda TC,10.0 ,8.5 , 11.7
Mpimbwe DC,3.7 ,2.2 , 5.9
Mpwapwa DC,4.5 ,1.6 , 10.0
Msalala DC,7.4 ,4.9 , 11.1
Mtwara DC,4.8 ,3.8 , 6.1
