States,2019,2019_lower, 2019_upper
Nyasa DC,5.9 ,4.5 , 7.7
Nzega DC,2.9 ,2.0 , 4.1
Nzega TC,12.8 ,7.0 , 19.8
Pangani DC,18.3 ,15.7 , 21.1
Rombo DC,3.7 ,3.1 , 4.4
Rorya DC,3.9 ,1.9 , 7.4
Ruangwa DC,7.0 ,3.8 , 11.1
Rufiji DC,19.6 ,8.7 , 38.9
Rungwe DC,9.5 ,6.0 , 14.4
Same DC,3.2 ,1.5 , 5.7
Sengerema DC,1.3 ,0.5 , 2.7
Serengeti DC,2.5 ,1.7 , 4.0
Shinyanga DC,1.8 ,1.3 , 2.3
Shinyanga MC,5.6 ,3.9 , 8.2
Siha DC,10.7 ,5.1 , 19.1
Sikonge DC,2.8 ,1.5 , 5.8
Simanjiro DC,4.8 ,3.8 , 6.3
Singida DC,4.2 ,2.5 , 6.2
Singida MC,8.6 ,6.3 , 11.6
Songea DC,8.2 ,6.9 , 9.9
Songea MC,7.7 ,6.2 , 9.4
Songwe DC,6.4 ,4.1 , 11.2
Sumbawanga DC,3.2 ,2.5 , 4.1
Sumbawanga MC,3.4 ,2.0 , 6.1
Tabora MC,4.1 ,2.8 , 6.7
Tandahimba DC,3.7 ,1.9 , 8.3
Tanga CC,5.5 ,3.5 , 8.1
Tarime DC,0.7 ,0.2 , 1.8
Tarime TC,2.1 ,1.1 , 3.4
Temeke MC,2.5 ,1.5 , 4.4
Tunduma TC,2.8 ,1.1 , 6.6
Tunduru DC,3.0 ,2.0 , 5.0
Ubungo MC,3.1 ,1.8 , 5.0
Ukerewe DC,2.3 ,0.8 , 5.2
Ulanga DC,8.1 ,4.9 , 12.9
Urambo DC,6.1 ,4.6 , 9.1
Ushetu DC,7.9 ,6.3 , 10.2
Uvinza DC,2.0 ,0.9 , 4.1
Uyui DC,2.2 ,1.3 , 3.8
Wanging'ombe DC,12.2 ,9.8 , 15.1
Wete,2.6 ,2.0 , 3.6
National,4.8 ,4.1,5.3
