,CountryCode,measure_value,Country,Year,Indicator_category,Indicator,unit_of_measure,Source
162,LKA,3,Sri Lanka,2020,Country,Civicus score,Number,Civicus monitor
163,KNA,5,Saint Kitts and Nevis,2020,Country,Civicus score,Number,Civicus monitor
164,VCT,5,Saint Vincent and the Grenadines,2020,Country,Civicus score,Number,Civicus monitor
165,SDN,1,Sudan,2020,Country,Civicus score,Number,Civicus monitor
166,SUR,5,Suriname,2020,Country,Civicus score,Number,Civicus monitor
167,SWZ,2,Eswatini,2020,Country,Civicus score,Number,Civicus monitor
168,SWE,5,Sweden,2020,Country,Civicus score,Number,Civicus monitor
169,CHE,5,Switzerland,2020,Country,Civicus score,Number,Civicus monitor
170,SYR,1,Syrian Arab Republic,2020,Country,Civicus score,Number,Civicus monitor
171,TWN,5,"Taiwan, Province of China",2020,Country,Civicus score,Number,Civicus monitor
172,TJK,2,Tajikistan,2020,Country,Civicus score,Number,Civicus monitor
173,TZA,2,"Tanzania, United Republic of",2020,Country,Civicus score,Number,Civicus monitor
174,THA,2,Thailand,2020,Country,Civicus score,Number,Civicus monitor
175,TLS,3,Timor-Leste,2020,Country,Civicus score,Number,Civicus monitor
176,TGO,3,Togo,2020,Country,Civicus score,Number,Civicus monitor
177,TON,4,Tonga,2020,Country,Civicus score,Number,Civicus monitor
178,TTO,4,Trinidad and Tobago,2020,Country,Civicus score,Number,Civicus monitor
179,TUN,3,Tunisia,2020,Country,Civicus score,Number,Civicus monitor
180,TUR,2,Turkey,2020,Country,Civicus score,Number,Civicus monitor
181,TKM,1,Turkmenistan,2020,Country,Civicus score,Number,Civicus monitor
182,TUV,5,Tuvalu,2020,Country,Civicus score,Number,Civicus monitor
183,UGA,2,Uganda,2020,Country,Civicus score,Number,Civicus monitor
184,UKR,3,Ukraine,2020,Country,Civicus score,Number,Civicus monitor
185,ARE,1,United Arab Emirates,2020,Country,Civicus score,Number,Civicus monitor
186,GBR,4,United Kingdom,2020,Country,Civicus score,Number,Civicus monitor
187,USA,4,United States,2020,Country,Civicus score,Number,Civicus monitor
188,URY,5,Uruguay,2020,Country,Civicus score,Number,Civicus monitor
189,UZB,1,Uzbekistan,2020,Country,Civicus score,Number,Civicus monitor
190,VUT,4,Vanuatu,2020,Country,Civicus score,Number,Civicus monitor
191,VEN,2,"Venezuela, Bolivarian Republic of",2020,Country,Civicus score,Number,Civicus monitor
192,VNM,1,Viet Nam,2020,Country,Civicus score,Number,Civicus monitor
193,YEM,1,Yemen,2020,Country,Civicus score,Number,Civicus monitor
194,ZMB,3,Zambia,2020,Country,Civicus score,Number,Civicus monitor
195,ZWE,2,Zimbabwe,2020,Country,Civicus score,Number,Civicus monitor
