,country,province,lat,lng
8,Nigeria,Cross River,5.8701724,8.5988014
9,Nigeria,Delta,5.704030800000001,5.9339181
10,Nigeria,Ebonyi,6.2649232,8.0137302
11,Nigeria,Edo,6.6341831,5.9304056
12,Nigeria,Ekiti,7.718986200000001,5.310950500000001
13,Nigeria,Enugu,6.4583661,7.5463885
14,Nigeria,FCT Abuja,8.8940691,7.1860402
15,Nigeria,Gombe,10.279142,11.1730615
16,Nigeria,Imo,5.5720122,7.0588219
17,Nigeria,Jigawa,12.228012,9.5615867
18,Nigeria,Kaduna,10.5104642,7.4165053
19,Nigeria,Kano,12.0021794,8.591956099999999
20,Nigeria,Katsina,12.9815608,7.622266499999999
21,Nigeria,Kebbi,11.4942003,4.2333355
22,Nigeria,Kogi,7.7337325,6.6905836
23,Nigeria,Kwara,8.9668961,4.3874051
24,Nigeria,Lagos,6.5243793,3.3792057
25,Nigeria,Nassarawa,8.4997908,8.1996937
26,Nigeria,Niger,9.930922400000002,5.598320999999999
27,Nigeria,Ogun,6.997974699999999,3.4737378
28,Nigeria,Ondo,7.1000051,4.8416936
29,Nigeria,Osun,7.562896399999999,4.5199593
30,Nigeria,Oyo,7.842957900000001,3.9368439
31,Nigeria,Plateau,9.2182093,9.5179488
32,Nigeria,Rivers,4.8396414,6.911237799999999
33,Nigeria,Sokoto,13.0058731,5.2475518
34,Nigeria,Taraba,7.9993616,10.7739863
35,Nigeria,Yobe,12.293876,11.4390411
36,Nigeria,Zamfara,12.1221805,6.2235819
0,Tanzania,Arusha CC,-3.3869254,36.6829927
1,Tanzania,Arusha DC,-3.3869254,36.6829927
2,Tanzania,Babati DC,-4.2078266,35.7461477
3,Tanzania,Babati TC,-4.2078266,35.7461477
4,Tanzania,Bagamoyo DC,-6.4456338,38.898941
5,Tanzania,Bahi DC,-5.9497794,35.313149
6,Tanzania,Bariadi DC,-2.7834602,33.9945323
7,Tanzania,Bariadi TC,-2.8069614,33.9917222
8,Tanzania,Biharamulo DC,-2.6343036,31.3141291
9,Tanzania,Buchosa DC,-2.6772534,32.6277455
10,Tanzania,Buhigwe DC,-4.4972131,29.8913485
11,Tanzania,Bukoba DC,-1.3296409,31.8050125
12,Tanzania,Bukoba MC,-1.3296409,31.8050125
13,Tanzania,Bukombe DC,-3.5992825,31.8107079
14,Tanzania,Bumbuli DC,-4.8687137,38.4613341
15,Tanzania,Bunda DC,-2.0185322,33.8746152
16,Tanzania,Bunda TC,-2.0185322,33.8746152
17,Tanzania,Busega DC,-2.3897421,33.5643784
18,Tanzania,Busokelo DC,38.9071923,-77.0368707
19,Tanzania,Butiama DC,-1.7676773,33.9644908
20,Tanzania,Chake Chake,-5.2505483,39.7807076
21,Tanzania,Chalinze DC,-6.638560999999999,38.352134
22,Tanzania,Chamwino DC,-6.098613599999999,36.0431243
23,Tanzania,Chato DC,-2.6381563,31.7667929
24,Tanzania,Chemba DC,38.9071923,-77.0368707
25,Tanzania,Chunya DC,-8.557013,33.4327468
26,Tanzania,Dodoma MC,-6.162959000000001,35.7516069
27,Tanzania,Gairo DC,-6.1390839,36.870769
28,Tanzania,Geita DC,-2.8675759,32.1864941
29,Tanzania,Geita TC,-2.8768403,32.2273796
30,Tanzania,Hai DC,-3.4083743,37.1687339
31,Tanzania,Hanang DC,-4.538829499999999,35.3905046
32,Tanzania,Handeni DC,-5.4236342,38.0261079
33,Tanzania,Handeni TC,-5.4236342,38.0261079
34,Tanzania,Ifakara TC,-8.139894,36.681728
35,Tanzania,Igunga DC,-4.284608599999999,33.8702337
36,Tanzania,Ikungi DC,-5.1359194,34.7699362
37,Tanzania,Ilala MC,-6.9275886,39.1335549
38,Tanzania,Ileje DC,-9.4109683,33.1856008
39,Tanzania,Ilemela MC,-2.5108219,32.9127726
40,Tanzania,Iramba DC,-4.3199527,34.3310364
41,Tanzania,Iringa DC,-7.768059,35.6860723
42,Tanzania,Iringa MC,-7.768059,35.6860723
43,Tanzania,Itigi DC,-5.683669999999999,34.507333
44,Tanzania,Itilima DC,-2.9564246,33.9482966
45,Tanzania,Kahama TC,-3.837555999999999,32.593828
46,Tanzania,Kakonko DC,-3.2798763,30.9661209
47,Tanzania,Kalambo DC,-8.297521399999999,31.5215456
48,Tanzania,Kaliua DC,-5.055102,31.7672732
49,Tanzania,Karagwe DC,-1.7717865,30.9876321
50,Tanzania,Karatu DC,-3.3454038,35.66968019999999
51,Tanzania,Kaskazini A,-5.887046199999999,39.299866
52,Tanzania,Kaskazini B,-5.9920551,39.2583293
53,Tanzania,Kasulu DC,-4.5702358,30.1011836
54,Tanzania,Kasulu TC,-4.5702358,30.1011836
55,Tanzania,Kati,-6.135729500000001,39.3621196
56,Tanzania,Kibaha DC,-6.783115,38.9909805
57,Tanzania,Kibaha TC,-6.783115,38.9909805
58,Tanzania,Kibiti DC,-7.725606900000001,38.9381031
59,Tanzania,Kibondo DC,-3.5837638,30.7177509
60,Tanzania,Kigamboni MC,-6.8226625,39.30244649999999
61,Tanzania,Kigoma DC,-4.903828499999999,29.6589929
62,Tanzania,Kigoma Ujiji MC,-4.8824092,29.6615055
63,Tanzania,Kilindi DC,-5.5652084,37.5534526
64,Tanzania,Kilolo DC,-8.005529800000001,35.8429558
65,Tanzania,Kilombero DC,-8.221548799999999,36.3498097
66,Tanzania,Kilosa DC,-6.834274499999999,36.9917125
67,Tanzania,Kilwa DC,-9.1496996,38.9876741
68,Tanzania,Kinondoni MC,-6.7053324,39.1127352
69,Tanzania,Kisarawe DC,-6.909637099999999,39.0736799
70,Tanzania,Kishapu DC,-3.6124625,33.8697326
71,Tanzania,Kiteto DC,-5.866667,36.85
72,Tanzania,Kondoa DC,-4.9068418,35.7898106
73,Tanzania,Kondoa TC,-4.9068418,35.7898106
74,Tanzania,Kongwa DC,-6.197011,36.4174952
75,Tanzania,Korogwe DC,-5.1609527,38.4535628
76,Tanzania,Korogwe TC,-5.1609527,38.4535628
77,Tanzania,Kusini,-6.3437236,39.5071372
78,Tanzania,Kwimba DC,-3.0605492,33.3486147
79,Tanzania,Kyela DC,-9.556279,33.9445989
80,Tanzania,Kyerwa DC,-1.3726313,30.793656
81,Tanzania,Lindi DC,-9.2343394,38.3165725
82,Tanzania,Lindi MC,-9.987607599999999,39.6982485
83,Tanzania,Liwale DC,-9.8012675,37.9201751
84,Tanzania,Longido DC,-2.7321938,36.6955402
85,Tanzania,Ludewa DC,-10.1130361,34.68012119999999
86,Tanzania,Lushoto DC,-4.7986675,38.2902184
87,Tanzania,Madaba DC,31.7193405,35.7932432
88,Tanzania,Mafia DC,-7.869895000000001,39.7549511
89,Tanzania,Mafinga TC,-8.3026125,35.2917432
90,Tanzania,Magharibi A,-6.229813600000001,39.2583293
91,Tanzania,Magharibi B,-6.229813600000001,39.2583293
92,Tanzania,Magu DC,-2.6178857,33.4831906
93,Tanzania,Makambako TC,-8.847413099999999,34.834821
94,Tanzania,Makete DC,-9.207278800000001,34.0641419
95,Tanzania,Malinyi DC,-8.944261299999999,36.1345414
96,Tanzania,Manyoni DC,-5.7481367,34.8404123
97,Tanzania,Masasi DC,-10.7323902,38.8100855
98,Tanzania,Masasi TC,-10.7323902,38.8100855
99,Tanzania,Maswa DC,-3.1791039,33.7725496
100,Tanzania,Mbarali DC,-8.671318399999999,34.3142526
101,Tanzania,Mbeya CC,-8.9094014,33.4607744
102,Tanzania,Mbeya DC,-8.9094014,33.4607744
103,Tanzania,Mbinga DC,-10.9552198,34.9939676
104,Tanzania,Mbinga TC,-10.9552198,34.9939676
105,Tanzania,Mbogwe DC,-3.372143,32.161079
106,Tanzania,Mbozi DC,-9.0141102,32.98883190000001
107,Tanzania,Mbulu DC,-3.8559813,35.5466332
108,Tanzania,Mbulu TC,-3.8559813,35.5466332
109,Tanzania,Meatu DC,-3.4978817,34.3310364
110,Tanzania,Meru DC,-3.2392763,36.7626981
111,Tanzania,Micheweni,-4.982972,39.8328613
112,Tanzania,Missenyi DC,-1.1009026,31.3541631
113,Tanzania,Misungwi DC,-2.8402944,33.0850955
114,Tanzania,Mjini,-6.1700941,39.2115678
115,Tanzania,Mkalama DC,-4.1137378,34.6447677
116,Tanzania,Mkinga DC,-4.7952766,38.904164
117,Tanzania,Mkoani,-5.3581315,39.64923590000001
118,Tanzania,Mkuranga DC,-7.121867399999999,39.2037708
119,Tanzania,Mlele DC,-6.7758362,31.8107079
120,Tanzania,Momba DC,-8.9146089,32.4467238
121,Tanzania,Monduli DC,-3.3029031,36.4452991
122,Tanzania,Morogoro DC,-6.768023899999999,37.681228
123,Tanzania,Morogoro MC,-6.8277556,37.6591144
124,Tanzania,Moshi DC,-3.3429977,37.3506658
125,Tanzania,Moshi MC,-3.3429977,37.3506658
126,Tanzania,Mpanda DC,-6.347763500000001,31.0736389
127,Tanzania,Mpanda TC,-6.347763500000001,31.0736389
128,Tanzania,Mpimbwe DC,38.9071923,-77.0368707
129,Tanzania,Mpwapwa DC,-6.3477951,36.4851204
130,Tanzania,Msalala DC,-2.2666667,31.6833333
131,Tanzania,Mtwara DC,-10.727462,39.1543677
132,Tanzania,Mtwara Mikindani MC,-10.2823295,40.1119893
133,Tanzania,Mufindi DC,-8.590888099999999,35.2927915
134,Tanzania,Muheza DC,-5.175938899999999,38.7917766
135,Tanzania,Muleba DC,-1.8412793,31.655912
136,Tanzania,Musoma DC,-1.5101913,33.8020459
137,Tanzania,Musoma MC,-1.4925341,33.807646
138,Tanzania,Mvomero DC,-6.3029452,37.4445962
139,Tanzania,Mwanga DC,-3.6611851,37.577427
140,Tanzania,Nachingwea DC,-10.3317526,38.7158702
141,Tanzania,Namtumbo DC,-10.4664329,36.1300969
142,Tanzania,Nanyamba TC,-10.6877799,39.7987306
143,Tanzania,Nanyumbu DC,-11.133333,38.5
144,Tanzania,Newala DC,-10.6416636,39.2375507
145,Tanzania,Newala TC,-10.6416636,39.2375507
146,Tanzania,Ngara DC,-2.495627,30.6458749
147,Tanzania,Ngorongoro DC,-3.2415439,35.4877778
148,Tanzania,Njombe DC,-9.5180714,34.6856509
149,Tanzania,Njombe TC,-9.3932355,34.8058626
150,Tanzania,Nkasi DC,-7.8,30.783333
151,Tanzania,Nsimbo DC,-6.4023669,31.25182
152,Tanzania,Nyamagana MC,-2.5828609,32.9663018
153,Tanzania,Nyang'hwale DC,-3.0508992,32.5958108
154,Tanzania,Nyasa DC,-11.3092519,34.8246394
155,Tanzania,Nzega DC,-4.2160791,33.1857517
156,Tanzania,Nzega TC,-4.2160791,33.1857517
157,Tanzania,Pangani DC,-5.425380199999999,38.97593699999999
158,Tanzania,Rombo DC,-3.1633988,37.5534526
159,Tanzania,Rorya DC,-1.4530773,34.0641419
160,Tanzania,Ruangwa DC,-10.0662772,38.9276622
161,Tanzania,Rufiji DC,-7.8728319,38.4249294
162,Tanzania,Rungwe DC,-9.2452322,33.70706190000001
163,Tanzania,Same DC,-4.1336927,37.8087693
164,Tanzania,Sengerema DC,-2.6772534,32.6277455
165,Tanzania,Serengeti DC,-1.8936005,34.6856509
166,Tanzania,Shinyanga DC,-3.6809961,33.4271403
167,Tanzania,Shinyanga MC,-3.6809961,33.4271403
168,Tanzania,Siha DC,-3.233239,37.1041056
169,Tanzania,Sikonge DC,-5.6229011,32.75483639999999
170,Tanzania,Simanjiro DC,-4.439505,37.12585929999999
171,Tanzania,Singida DC,-4.8253518,34.7630307
172,Tanzania,Singida MC,-4.8253518,34.7630307
173,Tanzania,Songea DC,-10.6462694,35.6423527
174,Tanzania,Songea MC,-10.6462694,35.6423527
175,Tanzania,Songwe DC,-8.5238219,32.5372741
176,Tanzania,Sumbawanga DC,-7.948864599999999,31.6169002
177,Tanzania,Sumbawanga MC,-7.948864599999999,31.6169002
178,Tanzania,Tabora MC,-5.0424945,32.8197329
179,Tanzania,Tandahimba DC,-10.7619512,39.6260058
180,Tanzania,Tanga CC,-5.0888751,39.1023228
181,Tanzania,Tarime DC,-1.4140839,34.4641848
182,Tanzania,Tarime TC,-1.3435651,34.3643423
183,Tanzania,Temeke MC,-6.9487976,39.44502809999999
184,Tanzania,Tunduma TC,-9.3095648,32.7689479
185,Tanzania,Tunduru DC,-11.0406923,37.3292861
186,Tanzania,Ubungo MC,-6.7925196,39.2086751
187,Tanzania,Ukerewe DC,-2.0298925,33.0338767
188,Tanzania,Ulanga DC,-8.9802246,36.7819505
189,Tanzania,Urambo DC,-5.077679499999999,32.0695406
190,Tanzania,Ushetu DC,-4.160951,32.262932
191,Tanzania,Uvinza DC,-5.1068609,30.3839017
192,Tanzania,Uyui DC,-5.1455717,33.3486147
193,Tanzania,Wanging'ombe DC,-8.852707299999999,34.6322645
194,Tanzania,Wete,-5.0559352,39.7291837
0,Uganda,Abim,2.706698,33.6595337
1,Uganda,Adjumani,3.3783808,31.7822278
2,Uganda,Agago,2.925082,33.3486147
3,Uganda,Alebtong,2.2497515,33.31423970000001
4,Uganda,Amolatar,1.6054402,32.8084496
5,Uganda,Amudat,1.9534181,34.9437716
6,Uganda,Amuria,2.03017,33.6427533
7,Uganda,Amuru,2.8184691,31.863924
8,Uganda,Apac,1.8730263,32.6277455
9,Uganda,Arua,3.0303299,30.907304
10,Uganda,Budaka,1.1016277,33.9303991
11,Uganda,Bududa,1.0029693,34.3338123
12,Uganda,Bugiri,0.5671364999999999,33.7461847
13,Uganda,Bugweri,0.6433107,33.5951925
14,Uganda,Buhweju,-0.3561772,30.29741989999999
15,Uganda,Buikwe,0.3144046,32.98883190000001
16,Uganda,Bukedea,1.347685,34.0432575
17,Uganda,Bukomansimbi,-0.1432752,31.6054893
18,Uganda,Bukwo,1.2818651,34.7298765
19,Uganda,Bulambuli,1.4798846,34.3754414
20,Uganda,Buliisa,2.1127266,31.417046
21,Uganda,Bundibugyo,0.707531,30.0636349
22,Uganda,Bunyangabu,0.4870918,30.2051096
23,Uganda,Bushenyi,-0.5423774,30.1964522
24,Uganda,Busia,0.4706692,34.0919803
25,Uganda,Butaleja,0.8474921999999999,33.84112880000001
26,Uganda,Butambala,0.17425,32.1064668
27,Uganda,Butebo,1.1973747,33.9213365
28,Uganda,Buvuma,-0.3764912,33.258793
29,Uganda,Buyende,1.1462969,33.1611582
30,Uganda,Dokolo,1.9130964,33.171699
31,Uganda,Gomba,0.2229791,31.6739371
32,Uganda,Gulu,2.7724038,32.2880726
33,Uganda,Hoima,1.4273554,31.3484448
34,Uganda,Ibanda,-0.096489,30.5739579
35,Uganda,Iganga,0.6045832999999999,33.4719832
36,Uganda,Isingiro,-0.8435429999999999,30.8039474
37,Uganda,Jinja,0.4478565999999999,33.2026122
38,Uganda,Kaabong,3.5124436,34.1337219
39,Uganda,Kabale,-1.241956,29.9856157
40,Uganda,Kabarole,0.5850791,30.2512728
41,Uganda,Kaberamaido,1.6963322,33.213851
42,Uganda,Kagadi,0.9400761,30.8125638
43,Uganda,Kakumiro,0.7808035,31.3241389
44,Uganda,Kalaki,1.8916808,33.3037143
45,Uganda,Kalangala,-0.3208374,32.2937428
46,Uganda,Kaliro,0.8927499,33.5028005
47,Uganda,Kalungu,-0.0952831,31.76513619999999
48,Uganda,Kampala,0.3475964,32.5825197
49,Uganda,Kamuli,0.9187107,33.1239049
50,Uganda,Kamwenge,0.225793,30.4818446
51,Uganda,Kanungu,-0.8897256,29.7831356
52,Uganda,Kapchorwa,1.397297,34.4489384
53,Uganda,Kapelebyong,2.2970408,33.860664
54,Uganda,Karenga,3.5690813,33.6930855
55,Uganda,Kasese,0.1698986,30.078078
